"player","fullNames","firstNames","givenNames","lastNames","birthNames","birthDates","birthPlaces","deathDates","deathPlaces","weightA","heightA","weightB","heightB","positions","wikidataId"
"http://dbpedia.org/resource/Shaune_Corrigan","Shaune Corrigan","","","","","1987-10-07","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Gosford,_New_South_Wales; http://dbpedia.org/resource/New_South_Wales","","",,,"95.0","185.0","","http://www.wikidata.org/entity/Q7491041"
"http://dbpedia.org/resource/Shawn_Blore","Shawn Blore","","","","","2000-08-01","Sydney, New South Wales, Australia","","",,,"108.0","190.0","","http://www.wikidata.org/entity/Q97623683"
"http://dbpedia.org/resource/Shawn_Lipman","","","","","","1964-09-25","Johannesburg, South Africa","","",,,,,"http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q7491408"
"http://dbpedia.org/resource/Shawn_Mackay","Shawn Mackay","","","","Shawn Mackay","1982-05-31","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Sydney","2009-04-06","http://dbpedia.org/resource/Durban; http://dbpedia.org/resource/South_Africa",,,,,"http://dbpedia.org/resource/Back_row_(rugby_union); http://dbpedia.org/resource/Second_Row_(rugby_union)","http://www.wikidata.org/entity/Q7491412"
"http://dbpedia.org/resource/Shawn_Pittman","Shawn Pittman","","","","Shawn Pittman","1988-01-22","Bellingham, Washington, U.S.","","",,,"118.0","191.0","http://dbpedia.org/resource/Prop_(rugby_union)","http://www.wikidata.org/entity/Q7491444"
"http://dbpedia.org/resource/Shay_Martyn","Shay Martyn","","","","","2002-11-15","","","",,,,,"","http://www.wikidata.org/entity/Q114047276"
"http://dbpedia.org/resource/Shaylee_Bent","Shaylee Bent","","","","","2000-09-13","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Penrith,_New_South_Wales","","",,,"80.0","173.0","","http://www.wikidata.org/entity/Q100136102"
"http://dbpedia.org/resource/Shayne_Bolton","Shayne Bolton","","","","","2000-06-29","Pretoria, South Africa","","",,,"100.0","188.0","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q109760232"
"http://dbpedia.org/resource/Shayne_Day","Shayne Day","","","","","1950-08-03","","","",,,,,"","http://www.wikidata.org/entity/Q65044318"
"http://dbpedia.org/resource/Shayne_Dunley","Shayne Dunley","","","","","1976-05-17","Sydney, New South Wales, Australia","","",,,,,"","http://www.wikidata.org/entity/Q7491702"
"http://dbpedia.org/resource/Shayne_Hayne","Kevin John Hayne; Shayne Hayne","","","","","1967-10-31","","","",,,,"180.0","","http://www.wikidata.org/entity/Q7488089"
"http://dbpedia.org/resource/Shayne_Makombe","Shayne Makombe","","","","","1991-11-21","Harare, Zimbabwe","","",,,"95.0","179.0","http://dbpedia.org/resource/Wing_(rugby_union)","http://www.wikidata.org/entity/Q111472712"
"http://dbpedia.org/resource/Shayne_McMenemy","Shayne McMenemy","","","","","1976-07-19","Sydney, New South Wales, Australia","","",,,"95.2543977","182.88","","http://www.wikidata.org/entity/Q7491710"
"http://dbpedia.org/resource/Shayne_Philpott","Shayne Philpott","","","","Shayne Philpott","1965-09-21","Christchurch, New Zealand","","",,,"80.0","175.0","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q15221057"
"http://dbpedia.org/resource/Shayne_Stead","Shayne Stead","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q70300225"
"http://dbpedia.org/resource/Shea_Moylan","Shea Moylan","","","","","1987-06-05","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Brisbane; http://dbpedia.org/resource/Queensland","","",,,"89.0","182.0","","http://www.wikidata.org/entity/Q7492140"
"http://dbpedia.org/resource/Sheffield_Lock","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q3577611"
"http://dbpedia.org/resource/Shehan_Pathirana","Shehan Pathirana","","","","","1992-01-27","","","",,"187.96",,"187.96","Loose Forward","http://www.wikidata.org/entity/Q7492832"
"http://dbpedia.org/resource/Sheldon_Powe-Hobbs","Sheldon Powe-Hobbs","","","","","1992-01-02","Cairns, Queensland, Australia","","",,,"100.0","189.0","","http://www.wikidata.org/entity/Q27671186"
"http://dbpedia.org/resource/Shelley_Rae","","","","","","1976-06-01","http://dbpedia.org/resource/Cambridge","","","70.0",,"70.0","172.72","http://dbpedia.org/resource/Flyhalf_(rugby_union)","http://www.wikidata.org/entity/Q3481842"
"http://dbpedia.org/resource/Shem_Tatupu","Shem J. Tatupu; Shem Tatupu","","","","","1968-02-18","North Harbour, New Zealand","","",,,,,"http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q20710266"
"http://dbpedia.org/resource/Shenae_Ciesiolka","Shenae Ciesiolka","","","","","1997-08-07","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Queensland; http://dbpedia.org/resource/Toowoomba","","",,,"65.0","170.0","Outside back","http://www.wikidata.org/entity/Q103974025"
"http://dbpedia.org/resource/Shepperton_Lock","","","","","","","","","",,100,,,"","http://www.wikidata.org/entity/Q7494561"
"http://dbpedia.org/resource/Sheri_Hunt","Sheri Hunt","","","","","","","","",,,,,"Flanker","http://www.wikidata.org/entity/Q111675870"
"http://dbpedia.org/resource/Sheriff_of_Kolkata","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q7494991"
"http://dbpedia.org/resource/Sheriff_of_Mumbai","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q7494993"
"http://dbpedia.org/resource/Sherri_Sparling","","","","","","1969-03-19","Ottawa","","",,,,,"Centre, Fullback, Wing","http://www.wikidata.org/entity/Q63198781"
"http://dbpedia.org/resource/Sherwin_Stowers","Sherwin Stowers","","","","Sherwin Stowers","1986-05-19","http://dbpedia.org/resource/Auckland,_New_Zealand","","",,"1.76 m","90.0","176.0","http://dbpedia.org/resource/Fullback_(rugby_union)","http://www.wikidata.org/entity/Q7495474"
"http://dbpedia.org/resource/Sherwin_Tanabi","Sherwin Tanabi","","","","","2001-10-05","http://dbpedia.org/resource/Lae; http://dbpedia.org/resource/Morobe_Province; http://dbpedia.org/resource/Papua_New_Guinea","","",,,,,"","http://www.wikidata.org/entity/Q114966793"
"http://dbpedia.org/resource/Shifford_Lock","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q7496216"
"http://dbpedia.org/resource/Shigeharu_Matsumoto","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q11531333"
"http://dbpedia.org/resource/Shilo_Klein","Shilo Klein","","","","","1999-05-04","Sacramento, California, United States","","",,,"106.0","180.0","","http://www.wikidata.org/entity/Q97156335"
"http://dbpedia.org/resource/Shin_Hasegawa","Shin Hasegawa","","","","","1972-03-31","http://dbpedia.org/resource/Japan; http://dbpedia.org/resource/Kyoto","","","102.0","179.0","102.0","179.0","Prop, Hooker","http://www.wikidata.org/entity/Q11653834"
"http://dbpedia.org/resource/Shingirai_Katsvere","Shingirai Katsvere","","","","Shingirai Katsvere","1997-05-10","Zimbabwe","","",,,"82.0","179.0","http://dbpedia.org/resource/Centre_(rugby_union); http://dbpedia.org/resource/Fullback_(rugby_union); http://dbpedia.org/resource/Wing_(rugby_union)","http://www.wikidata.org/entity/Q112156861"
"http://dbpedia.org/resource/Shinji_Onuki","Shinji Onuki","","","","","1962-03-16","Tokyo, Japan","","",,,,,"Wing","http://www.wikidata.org/entity/Q38053378"
"http://dbpedia.org/resource/Shinnosuke_Kakinaga","Shinnosuke Kakinaga","","","","","1991-12-19","http://dbpedia.org/resource/Fukuoka; http://dbpedia.org/resource/Japan","","",,,"118.0","180.0","","http://www.wikidata.org/entity/Q21928085"
"http://dbpedia.org/resource/Shinobu_Aoki","Shinobu Aoki","","","","","1968-01-26","http://dbpedia.org/resource/Japan; http://dbpedia.org/resource/Saitama_Prefecture","","",,,,,"http://dbpedia.org/resource/Fly-half_(rugby_union)","http://www.wikidata.org/entity/Q16263565"
"http://dbpedia.org/resource/Shintaro_Ishihara_(rugby_union)","Shintaro Ishihara","","","","","1990-06-17","http://dbpedia.org/resource/Japan","","",,,"105.0","180.0","","http://www.wikidata.org/entity/Q24867907"
"http://dbpedia.org/resource/Shinya_Makabe_(rugby_union)","Shinya Makabe","","","","","1987-03-26","http://dbpedia.org/resource/Japan; http://dbpedia.org/resource/Miyagi_Prefecture; http://dbpedia.org/resource/Sendai","","","118.0","1.92 m","118.0","192.0","http://dbpedia.org/resource/Flanker_(rugby_union); http://dbpedia.org/resource/Lock_(rugby_union)","http://www.wikidata.org/entity/Q20983083"
"http://dbpedia.org/resource/Shiplake_Lock","","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q7498006"
"http://dbpedia.org/resource/Shiray_Kaka","","","","","","1995-03-26","","","","68.0","1.68m","68.0","168.0","","http://www.wikidata.org/entity/Q107395657"
"http://dbpedia.org/resource/Shogo_Miura","Shogo Miura","","","","","1995-08-06","http://dbpedia.org/resource/Akita_City; http://dbpedia.org/resource/Japan","","",,,"113.0","180.0","","http://www.wikidata.org/entity/Q26046085"
"http://dbpedia.org/resource/Shogo_Mukai","Shogo Mukai","","","","","1961-10-02","http://dbpedia.org/resource/Ehime_Prefecture; http://dbpedia.org/resource/Iyo,_Ehime; http://dbpedia.org/resource/Japan","","",,,,,"http://dbpedia.org/resource/Fullback_(rugby_union)","http://www.wikidata.org/entity/Q7500091"
"http://dbpedia.org/resource/Shogo_Nakano","Shogo Nakano","","","","","1997-06-11","http://dbpedia.org/resource/Japan","","",,,"100.0","186.0","","http://www.wikidata.org/entity/Q38276598"
"http://dbpedia.org/resource/Shohei_Hirano","Shohei Hirano","","","","","1993-08-30","http://dbpedia.org/resource/Japan","","",,,"122.0","178.0","","http://www.wikidata.org/entity/Q105063560"
"http://dbpedia.org/resource/Shohei_Toyoshima","","","","","","1989-01-09","","","",,,,"177.0","http://dbpedia.org/resource/Wing_(rugby_union)","http://www.wikidata.org/entity/Q26870435"
"http://dbpedia.org/resource/Shoji_Ito","Shoji Ito","","","","","1980-12-02","Kobe, Hyōgo, Japan","","",,,"102.0","191.0","http://dbpedia.org/resource/Lock_(rugby_union)","http://www.wikidata.org/entity/Q11380475"
