"team","teamLabel","teamNames","teamNames2","fullNames","nickNames","wikidataId"
"http://dbpedia.org/resource/Chepstow_RFC","Chepstow RFC","; Chepstow RFC; The Stow",NA,"Chepstow Rugby Football Club","The Stow","http://www.wikidata.org/entity/Q5091734"
"http://dbpedia.org/resource/Cheshire_Rugby_Football_Union","Cheshire Rugby Football Union","Cheshire RFU",NA,"Cheshire Rugby Football Union",NA,"http://www.wikidata.org/entity/Q24993279"
"http://dbpedia.org/resource/Chess_Valley_Rugby_Football_Club","Chess Valley Rugby Football Club","; Chess Valley RFC",NA,"Chess Valley Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5093311"
"http://dbpedia.org/resource/Chester-le-Street_Rugby_Club","Chester-le-Street Rugby Club","; Chester-le-Street",NA,"Chester-le-Street Rugby Club",NA,"http://www.wikidata.org/entity/Q5093418"
"http://dbpedia.org/resource/Chester_RUFC","Chester RUFC","; Chester RUFC",NA,"Chester Rugby Union Football Club",NA,"http://www.wikidata.org/entity/Q5093693"
"http://dbpedia.org/resource/Chesterfield_Panthers_Rugby_Union_Football_Club","Chesterfield Panthers Rugby Union Football Club","; Chesterfield Panthers",NA,"Chesterfield Panthers Rugby Union Football Club",NA,"http://www.wikidata.org/entity/Q5093817"
"http://dbpedia.org/resource/Chicago_Blaze_(rugby)","Chicago Blaze (rugby)","; Blaze RFC; The Blaze",NA,"Chicago Blaze Rugby Football Club","The Blaze","http://www.wikidata.org/entity/Q17986423"
"http://dbpedia.org/resource/Chicago_Griffins_RFC","Chicago Griffins RFC","; Chicago Griffins; Griffins, Griffs",NA,"The Chicago Griffins","Griffins, Griffs","http://www.wikidata.org/entity/Q5095633"
"http://dbpedia.org/resource/Chicago_Lions","Chicago Lions","Chicago Lions; Lions",NA,"Chicago Lions Rugby Football Club","Lions","http://www.wikidata.org/entity/Q5095689"
"http://dbpedia.org/resource/Chicago_Riot_Rugby_Football_Club","Chicago Riot Rugby Football Club","Chicago Riot Rugby; Riot",NA,"Chicago Riot Rugby Football Club","Riot","http://www.wikidata.org/entity/Q5095892"
"http://dbpedia.org/resource/Chichester_RFC","Chichester RFC","; Blues; Chichester",NA,"Chichester Rugby Football Club","Blues","http://www.wikidata.org/entity/Q17986427"
"http://dbpedia.org/resource/Chiefs_(rugby_union)","Chiefs (rugby union)","Chiefs",NA,NA,NA,"http://www.wikidata.org/entity/Q586617"
"http://dbpedia.org/resource/Chiefs_Manawa","Chiefs Manawa","Chiefs Manawa",NA,NA,NA,"http://www.wikidata.org/entity/Q113635298"
"http://dbpedia.org/resource/Chile_national_under-20_rugby_union_team","Chile national under-20 rugby union team",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q4120775"
"http://dbpedia.org/resource/China_Lions","China Lions","China Lions",NA,NA,NA,"http://www.wikidata.org/entity/Q96374913"
"http://dbpedia.org/resource/Chingford_RFC","Chingford RFC","; Chingford",NA,NA,NA,"http://www.wikidata.org/entity/Q55607449"
