origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q448515,David Nash,David_Nash_(rugby_union),Amateur team(s),–,Barbarian F.C.,/wiki/Barbarian_F.C.,,
Q448515,David Nash,David_Nash_(rugby_union),Amateur team(s),–,Monmouthshire,/wiki/Monmouthshire_County_RFC,,
Q448825,Will Greenwood,Will_Greenwood,Amateur team(s),1988–1990,Preston Grasshoppers,/wiki/Preston_Grasshoppers,,
Q448825,Will Greenwood,Will_Greenwood,Amateur team(s),1990–1994,Waterloo R.F.C.,/wiki/Waterloo_R.F.C.,,
Q472853,Alan Quinlan,Alan_Quinlan,Amateur team(s),,Clanwilliam,/wiki/Clanwilliam_Rugby_Club,,
Q472853,Alan Quinlan,Alan_Quinlan,Amateur team(s),1994–2011,Shannon,/wiki/Shannon_RFC,,
Q474788,Matthew Rees,Matthew_Rees,Youth career,Tonyrefail RFC,,,,
Q474788,Matthew Rees,Matthew_Rees,Youth career,Merthyr RFC,,,,
Q496505,Heyneke Meyer,Heyneke_Meyer,Amateur team(s),1986–1987,Tukkies,/wiki/University_of_Pretoria,,
Q503407,James Haskell,James_Haskell,Youth career,Wasps Academy,,,,
Q506299,Andrew Mehrtens,Andrew_Mehrtens,Amateur team(s),,Christchurch HSOB,/wiki/High_School_Old_Boys_RFC,,
Q506434,Luke Fitzgerald,Luke_Fitzgerald,Amateur team(s),,Blackrock College,/wiki/Blackrock_College_RFC,,
Q506917,Marcos Ayerza,Marcos_Ayerza,Amateur team(s),-2006,Newman,/wiki/Newman_Club_(rugby),,
Q507506,Fabio Staibano,Fabio_Staibano,Youth career,Parma,,,,
Q508105,Andrew Trimble,Andrew_Trimble,Amateur team(s),,Ballymena,/wiki/Ballymena_RFC,,
Q510441,Steve Bainbridge,Steve_Bainbridge,Amateur team(s),,Fylde,/wiki/Fylde_Rugby_Club,,
Q510441,Steve Bainbridge,Steve_Bainbridge,Amateur team(s),–,Gosforth,/wiki/Newcastle_Falcons#History,,
Q510441,Steve Bainbridge,Steve_Bainbridge,Amateur team(s),–,Orrell,/wiki/Orrell_R.U.F.C.,,
Q510441,Steve Bainbridge,Steve_Bainbridge,Amateur team(s),–,Blaydon,/wiki/Blaydon,,
Q519358,Alex Cuthbert,Alex_Cuthbert,Youth career,Hartpury College,,,,
Q522429,Ned Haig,Ned_Haig,Amateur team(s),1880-,Melrose RFC,/wiki/Melrose_RFC,,
Q525873,Shane Williams,Shane_Williams,Youth career,?–1998,Amman United,/wiki/Amman_United_RFC,,
Q526295,Andy Irvine,Andy_Irvine_(rugby_union),Amateur team(s),,Heriot's,/wiki/Heriot%27s_Rugby_Club,,
Q531221,Emyr Wyn Lewis,Emyr_Wyn_Lewis,Amateur team(s),,Amman United RFC,/wiki/Amman_United_RFC,,
Q533038,William Renwick,William_Renwick_(rugby_union),Amateur team(s),,Edinburgh Wanderers,/wiki/Edinburgh_Wanderers,,
Q537574,Oscar Collodo,Oscar_Collodo,Amateur team(s),1977-1979,Treviso,/wiki/Benetton_Rugby,,
Q537574,Oscar Collodo,Oscar_Collodo,Amateur team(s),1979-1984,Petrarca,/wiki/Petrarca_Rugby,,
Q537574,Oscar Collodo,Oscar_Collodo,Amateur team(s),1984-1993,Treviso,,,
Q537933,Joe Warbrick,Joe_Warbrick,Amateur team(s),1877,Ponsonby,/wiki/Ponsonby_RFC,,
Q537933,Joe Warbrick,Joe_Warbrick,Amateur team(s),"1879–1880, 1888",Wellington,,,
