"origWdId","origName","frName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","International","2013-2013","Lions","%C3%89quipe_des_Lions_britanniques_et_irlandais_de_rugby_%C3%A0_XV","1","0","2013","2013"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Youth","NA-NA","Université de Dschang",NA,NA,NA,NA,NA
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2005-2006","Stade aurillacois","Stade_aurillacois_Cantal_Auvergne","26","5","2005","2006"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2006-2007","UA Gaillac","Union_athl%C3%A9tique_gaillacoise","26","10","2006","2007"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2007-2008","FC Auch Gers","Football_Club_Auch_Gers","18","0","2007","2008"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2008-2009","Stade français","Stade_fran%C3%A7ais_Paris_rugby","9","0","2008","2009"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2009-2013","USA Perpignan","Union_sportive_Arlequins_perpignanais","89","10","2009","2013"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","Senior","2013-2017","Montpellier HR","Montpellier_H%C3%A9rault_Rugby","92","15","2013","2017"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou","Robins_Tchale-Watchou","International","NA-NA","Cameroun","%C3%89quipe_du_Cameroun_de_rugby_%C3%A0_XV",NA,NA,NA,NA
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2004-2008","Newcastle Falcons","Newcastle_Falcons","76","263","2004","2008"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2008-2014","Leicester Tigers","Leicester_Tigers","121","1336","2008","2014"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2014-2017","Stade toulousain","Stade_toulousain","60","337","2014","2017"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2017-2021","Newcastle Falcons","Newcastle_Falcons","72","374","2017","2021"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","International","2006-2013","Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","60","301","2006","2013"
"Q77848","Sascha Fischer","Sascha Fischer","Sascha_Fischer","Senior","2006-2013","DSV 1878 Hanovre",NA,"?","?","2006","2013"
"Q77848","Sascha Fischer","Sascha Fischer","Sascha_Fischer","Senior","1996-2003","CS Bourgoin-Jallieu","Club_sportif_Bourgoin-Jallieu_rugby","?","?","1996","2003"
"Q77848","Sascha Fischer","Sascha Fischer","Sascha_Fischer","Senior","2003-2006","CA Périgueux","Club_athl%C3%A9tique_P%C3%A9rigueux_Dordogne","6","0","2003","2006"
"Q77848","Sascha Fischer","Sascha Fischer","Sascha_Fischer","Senior","2006-2008","Bugue AC","Bugue_Athletic_Club","17","0","2006","2008"
"Q77848","Sascha Fischer","Sascha Fischer","Sascha_Fischer","International","2006-2008","Allemagne","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","27","0","2006","2008"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2005-2009","North Harbour","North_Harbour_Rugby_Union","50","45","2005","2009"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2006-2010","Blues","Blues_(rugby_%C3%A0_XV)","18","0","2006","2010"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2010-2010","ASM Clermont","ASM_Clermont_Auvergne","7","15","2010","2010"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2010-2011","Taranaki","Taranaki_Rugby_Football_Union","17","20","2010","2011"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2011-2017","Northampton Saints","Northampton_Saints","137","145","2011","2017"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2017-2017","North Harbour",NA,"0","0","2017","2017"
"Q80607","George Pisi","George Pisi","George_Pisi","Senior","2018-2018","Western Force","Western_Force","4","0","2018","2018"
"Q80607","George Pisi","George Pisi","George_Pisi","International","2010-2016","Samoa","%C3%89quipe_des_Samoa_de_rugby_%C3%A0_XV","21","20","2010","2016"
"Q82942","Farid Sid","Farid Sid","Farid_Sid","Senior","1997-2003","USA Perpignan","Union_sportive_Arlequins_perpignanais","41","35","1997","2003"
"Q82942","Farid Sid","Farid Sid","Farid_Sid","Senior","2003-2004","US Colomiers","Colomiers_Rugby","10","15","2003","2004"
"Q82942","Farid Sid","Farid Sid","Farid_Sid","Senior","2004-2008","CA Brive","Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin","86","90","2004","2008"
"Q82942","Farid Sid","Farid Sid","Farid_Sid","Senior","2008-2013","USA Perpignan","Union_sportive_Arlequins_perpignanais","110","130","2008","2013"
"Q82942","Farid Sid","Farid Sid","Farid_Sid","Senior","2014-2015","FC Lézignan XIII","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league","4","0","2014","2015"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Youth","1990-2001","SC Neuenheim","SC_Neuenheim",NA,NA,"1990","2001"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2001-2004","SC Neuenheim","SC_Neuenheim","-","-","2001","2004"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2005-2005","Stoke RFC",NA,"-","-","2005","2005"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2006-2009","RC Orléans","Rugby_Club_Orl%C3%A9ans","47","50","2006","2009"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2009-2012","Cavalieri Prato","Rugby_Club_I_Cavalieri_Prato","53","75","2009","2012"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2012-2013","US Dax","Union_sportive_dacquoise","12","5","2012","2013"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2013-2014","Cavalieri Prato","Rugby_Club_I_Cavalieri_Prato","19","40","2013","2014"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","International","2003-2018","Allemagne","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","48","45","2003","2018"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","1992-1999","DSV 78 Hanovre","DSV_78_Hanovre",NA,NA,"1992","1999"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","1999-2002","CS Bourgoin-Jallieu","Club_sportif_Bourgoin-Jallieu_rugby","8","0","1999","2002"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","2002-2012","Stade rochelais","Stade_rochelais","288","25","2002","2012"
