"rugbyscopeId","altNames","teamWP"
"6899","フィジー","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%82%A3%E3%82%B8%E3%83%BC%E4%BB%A3%E8%A1%A8"
"6900","ウェスタン・プロヴィンス",NA
"6901","マンスター","%E3%83%9E%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"135","ストーマーズ","%E3%82%B9%E3%83%88%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
NA,"SCグローレ",NA
"6902","USコロミエ; →USコロミエ(loan)","US%E3%82%B3%E3%83%AD%E3%83%9F%E3%82%A8"
"6903","ワージング",NA
"231","ワスプス; ロンドン・ワスプス","%E3%83%AF%E3%82%B9%E3%83%97%E3%82%B9%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"6904","ロズリンパークFC","%E3%83%AD%E3%82%BA%E3%83%AA%E3%83%B3%E3%83%91%E3%83%BC%E3%82%AFFC"
"6905","ハーレクインズ","%E3%83%8F%E3%83%BC%E3%83%AC%E3%82%AF%E3%82%A4%E3%83%B3%E3%82%BA"
"6906","Farnham",NA
"6907","ニューカッスル・ファルコンズ; ニューカッスル; ファルコンズ","%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AB%E3%83%83%E3%82%B9%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A1%E3%83%AB%E3%82%B3%E3%83%B3%E3%82%BA"
"6908","B&I Lions",NA
"241","ライオンズ; キャッツ","%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
NA,"キング・エドワード7世高校",NA
NA,"ウェークレイクボーイズ高校",NA
"27","ASMクレルモン; クレルモン; ASモンフェラン; モンフェラン; クレルモン・オーヴェルニュ; ASMクレルモン・オーヴェルニュ","ASM%E3%82%AF%E3%83%AC%E3%83%AB%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%8B%E3%83%A5"
"232","ブルーズ; ブルース; オークランド・ブルーズ","%E3%83%96%E3%83%AB%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
NA,"ノース・ハーバー",NA
"614","マルセイユ・ヴィトロール","Rugby_Club_Stade_Phoc%C3%A9en"
"2904","ノース・ハーバー; ノースハーバー","North_Harbour_Rugby_Union"
"270","ウェリントン","Wellington_Rugby_Football_Union"
"2907","カウンティーズ・マヌカウ; マヌカウ","Counties_Manukau_Rugby_Football_Union"
"14","カーディフ; カーディフ・ブルーズ; カーディフ・ラグビー; Cardiff Rugby","%E3%82%AB%E3%83%BC%E3%83%87%E3%82%A3%E3%83%95%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
NA,"マリスト・St・ジョゼフズ",NA
"1659","ポンソンビーRFC","Ponsonby_RFC"
"150","スウォンジー","Swansea_RFC"
"2046","セコム; 狭山RG","%E7%8B%AD%E5%B1%B1%E3%82%BB%E3%82%B3%E3%83%A0%E3%83%A9%E3%82%AC%E3%83%83%E3%83%84"
"928","オークランド","%E3%82%AA%E3%83%BC%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%89_(NPC)"
"224","サモア","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B5%E3%83%A2%E3%82%A2%E4%BB%A3%E8%A1%A8"
"17","パシフィック・アイランダーズ","%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA"
"1","リヨン; リヨンOU","%E3%83%AA%E3%83%A8%E3%83%B3OU"
"80","ブランビーズ","%E3%83%96%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"120","エディンバラ; エジンバラ; エディンバラ・ラグビー","%E3%82%A8%E3%83%87%E3%82%A3%E3%83%B3%E3%83%90%E3%83%A9%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"197","CAブリーヴ; ブリーヴ","CA%E3%83%96%E3%83%AA%E3%83%BC%E3%83%B4"
"152","ビアリッツ; ビアリッツ・オランピック","%E3%83%93%E3%82%A2%E3%83%AA%E3%83%83%E3%83%84%E3%83%BB%E3%82%AA%E3%83%A9%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF"
"310","モン＝ド＝マルサン; モントワ; スタッド・モントワ","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%A2%E3%83%B3%E3%83%88%E3%83%AF"
"577","オレル","%E3%82%AA%E3%83%AC%E3%83%ABRUFC"
"251","リーズ; リーズ・タイクス; ヨークシャー・カーネギー; ヨークシャー","%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%BB%E3%82%BF%E3%82%A4%E3%82%AF%E3%82%B9"
NA,"ブリッツ高校",NA
"6190","プレトリア大学; UP Tuks; University of Pretoria","%E3%83%97%E3%83%AC%E3%83%88%E3%83%AA%E3%82%A2%E5%A4%A7%E5%AD%A6"
"122","グロスター; グロスター・ラグビー","%E3%82%B0%E3%83%AD%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
NA,"テアウテカレッジ",NA
"238","ロンドン・アイリッシュ; アイリッシュ","%E3%83%AD%E3%83%B3%E3%83%89%E3%83%B3%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5"
"487","リコー; BR東京","%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%A9%E3%83%A0%E3%82%BA%E6%9D%B1%E4%BA%AC"
NA,"ホークスベイ",NA
"1370","U20アイルランド","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
"77","アイルランド","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
NA,"ナタル・シャークス",NA
"2736","オールドグローリーDC","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BCDC"
"273","オスプリーズ","%E3%82%AA%E3%82%B9%E3%83%97%E3%83%AA%E3%83%BC%E3%82%BA"
"143","ウェールズ","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%AB%E3%82%BA%E4%BB%A3%E8%A1%A8"
NA,"カーディフRFC",NA
"454","ケンブリッジ大学ラグビー部; ケンブリッジ大学; University of Cambridge","%E3%82%B1%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%82%B8%E5%A4%A7%E5%AD%A6"
"61","ワラターズ; ニューサウスウェールズ","%E3%83%AF%E3%83%A9%E3%82%BF%E3%83%BC%E3%82%BA"
"266","USAペルピニャン; ペルピニャン","USA%E3%83%9A%E3%83%AB%E3%83%94%E3%83%8B%E3%83%A3%E3%83%B3"
NA,"グラモーガン・ワンダラーズ",NA
"1950","U20ウェールズ","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%AB%E3%82%BA%E4%BB%A3%E8%A1%A8"
NA,"トリニティー・ユニバーシティ・カレッジ",NA
NA,"スラネリー",NA
"64","スカーレッツ","%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%AC%E3%83%83%E3%83%84"
NA,"ボーヴァロン",NA
"199","CSブルゴワン＝ジャイユー; ブルゴワン; ブルゴワン＝ジャイユー","CS%E3%83%96%E3%83%AB%E3%82%B4%E3%83%AF%E3%83%B3%EF%BC%9D%E3%82%B8%E3%83%A3%E3%82%A4%E3%83%A6%E3%83%BC"
NA,"Coventry R.F.C. → NG Dragons",NA
NA,"Perpignan",NA
NA,"Barbarians",NA
NA,"Western Province",NA
NA,"Natal Sharks",NA
"239","ノーサンプトン・セインツ; ノーサンプトン","%E3%83%8E%E3%83%BC%E3%82%B5%E3%83%B3%E3%83%97%E3%83%88%E3%83%B3%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%B3%E3%83%84"
"5776","リンカーン大学; Lincoln University (New Zealand)","%E3%83%AA%E3%83%B3%E3%82%AB%E3%83%BC%E3%83%B3%E5%A4%A7%E5%AD%A6_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89)"
"2699","ラグビー・ユナイテッド・ニューヨーク; ニューヨーク・アイロンワーカーズ; ニューヨーク; ニューヨーク・アイアンワーカーズ; RUニューヨーク","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%83%A6%E3%83%8A%E3%82%A4%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF"
"188","クルセイダーズ; カンタベリー・クルセイダーズ","%E3%82%AF%E3%83%AB%E3%82%BB%E3%82%A4%E3%83%80%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
NA,"ハイスクール・オールドボーイズRFC",NA
NA,"Béziers",NA
"101","アルゼンチン; アルゼンチンU21; アルゼンチンXV","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%AB%E3%82%BC%E3%83%B3%E3%83%81%E3%83%B3%E4%BB%A3%E8%A1%A8"
NA,"UWIC",NA
"111","エクセター・チーフス","%E3%82%A8%E3%82%AF%E3%82%BB%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%81%E3%83%BC%E3%83%95%E3%82%B9"
"88","バイヨンヌ; アヴィロン・バイヨネ","%E3%82%A2%E3%83%B4%E3%82%A3%E3%83%AD%E3%83%B3%E3%83%BB%E3%83%90%E3%82%A4%E3%83%A8%E3%83%8D"
NA,"Amman United",NA
NA,"ニース",NA
"331","パンパスXV","%E3%83%91%E3%83%B3%E3%83%91%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"316","ボルドー; ボルドー・ベグル; ユニオン・ボルドー・ベグル","%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%9C%E3%83%AB%E3%83%89%E3%83%BC%E3%83%BB%E3%83%99%E3%82%B0%E3%83%AB"
"2436","ハグアレス; ハグアレスXV","%E3%83%8F%E3%82%B0%E3%82%A2%E3%83%AC%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"862","U20アルゼンチン; U-20アルゼンチン; U20オーストラリア; U20アルゼンチン代表","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%AB%E3%82%BC%E3%83%B3%E3%83%81%E3%83%B3%E4%BB%A3%E8%A1%A8"
NA,"ニューマン",NA
NA,"CSクリシー",NA
"1891","S愛知; 豊田自動織機; 豊田自動織機シャトルズ愛知; 愛知","%E8%B1%8A%E7%94%B0%E8%87%AA%E5%8B%95%E7%B9%94%E6%A9%9F%E3%82%B7%E3%83%A3%E3%83%88%E3%83%AB%E3%82%BA%E6%84%9B%E7%9F%A5"
"163","U20イングランド","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
