"V1","V2"
"HENRY WALKER","Henry_Walker_(mines_inspector)"
"DICK LUYT",NA
"GERHARD MORKEL",NA
"JAN STEGMANN",NA
"PIERRE DE VILLIERS",NA
"JC VAN DER WESTHUIZEN",NA
"PONIE VAN DER WESTHUIZEN",NA
"GEOFF GRAY",NA
"ANDRE MCDONALD",NA
"BERT KIPLING",NA
"HOPPIE VAN JAARSVELD",NA
"FONNIE DU TOIT",NA
"WILLEM BARNARD",NA
"JOHAN STEENEKAMP",NA
"MARTIENS BEKKER",NA
"TRIX TRUTER",NA
"HAAS SCHOEMAN",NA
"MIKE LAWLESS",NA
"GERTJIE BRYNARD",NA
"SAKKIE VAN ZYL",NA
"TEVITA BLOOMFIELD",NA
"MA'AFU PALE",NA
"LOTU FILIPINE","Lotu_Filipine"
"SIOELI NAU",NA
"SIONE FONUA",NA
"SILA VA'ENUKU",NA
"SETI FILO",NA
"MOSESE MAKASINI",NA
"PENI FAKALELU",NA
"ENELE TAUFA","Enele_Taufa"
"JOSH AFU",NA
"MANI VAKALOA",NA
"SAIA FEKITOA",NA
"MICHAEL TOLOKE",NA
"VILIAMI FIHAKI",NA
"SIONE TAU",NA
"JETHRO FELEMI","Jethro_Felemi"
"DUKE NGININGINI",NA
"ATU MANU",NA
"DAVID STEPHENSON","David_Stephenson_(rugby_league,_born_1958)"
"DAVID WILLIAMS",NA
"DEMECUS BEACH","Demecus_Beach"
"MICHAEL SMITH","Mike_Smith_(Scottish_cricketer)"
"JUAN LABAT",NA
"FEDERICO CAPO ORTEGA",NA
"JUAN LABAT",NA
"MARTIN CROSA",NA
"SEBASTIAN LEVAGGI",NA
"GASTON SZABO",NA
"MARCOS CHAMYAN","Marcos_Chamyan"
"JUAN MANUEL RODRIGUEZ",NA
"MATEO PERILLO","Mateo_Perillo"
"JUAN ZUCCARINO",NA
"IGNACIO ALVAREZ",NA
"DAI JONES",NA
"OSSIE WILLIAMS",NA
