"wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
NA,"Zimbabwe national under-18 rugby union team","National U18 team",NA,NA,"Zimbabwe -18",NA,"Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Amatori Modena","Club",NA,NA,,NA,"Italy",NA,NA,NA,NA,"Modena",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Amatori Napoli Rugby","Club",NA,NA,,NA,"Italy",NA,NA,NA,NA,"Napoli",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Apia","Club",NA,NA,NA,NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Apia West","Club",NA,NA,NA,NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Apolima rugby","Club",NA,NA,"Apolima",NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Arcangue-Bassussarry Rugby","Club",NA,NA,"Emak Hor Rugby Arcangues / Bassussarry; Arcangues-Bassussarry",NA,"France",NA,NA,NA,NA,"Arcangues",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Union Sportive Bois Colombes","Club",NA,NA,"US Bois Colombes; Bois-Colombes",NA,"France",NA,NA,NA,NA,"Bois-Colombes",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Bompas XV","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Bompas",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Bourse","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Bram","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Bram",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Capestang","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Capestang",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Idron-Lée","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Idron-Lée",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Loriol","Club",NA,"2007-01-01",NA,NA,"France",NA,NA,NA,NA,"Loriol",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"AS Mont-Dore","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Le Mont-Dore",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Association Sport Ouvrier Palois","Club",NA,NA,"ASOP",NA,"France",NA,NA,NA,NA,"Pau",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Aurora Barbarians RFC","Club",NA,NA,"Aurora Barbarians",NA,"Canada",NA,NA,NA,NA,"Aurora",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Australian Rugby Union Academy","Club",NA,NA,"ARUA; Australian Rugby Union’s National Academy",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Avamafoa Rugby Club","Club",NA,NA,"Avamafoa RC",NA,"France",NA,NA,NA,NA,"Sigave Futuna",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Avenir Jurançonnais","Club",NA,NA,"Avenir Juranconnais; Avenir jurançonnais",NA,"France",NA,NA,NA,NA,"Jurançon",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Avenir lescarien","Club","1923-06-24","2004-01-01",NA,NA,"France",NA,NA,NA,NA,"Lescar",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Avenir palois","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Pau",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"B. S. de Valparaíso","Club",NA,NA,"Badminton Sports de Valparaíso",NA,"Chile",NA,NA,NA,NA,"Valparaíso",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Bagrati Kutaisi","Club",NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,"Kutaisi",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Barns Green RFC","Club",NA,NA,"Barns Green",NA,"England",NA,NA,NA,NA,"Barns Green",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Belgium A national rugby union team","National senior team",NA,NA,"Belgique B",NA,"Belgium",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Belovula Rugby Club","Club",NA,NA,"Belovula RC; Belovula",NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Bintulu Rugby","Club",NA,NA,"Bintulu Rugby Club, Bintulu RC",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Black Star Rugby Charleroi","Club",NA,NA,"Rugby Black Star Charleroi",NA,"Belgium",NA,NA,NA,NA,"Charleroi",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Bombay Gymkhana Rugby","Club",NA,NA,"Bombay Gymkhana",NA,"India",NA,NA,NA,NA,"Mumbai",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Bombo Rugby Firenze","Club","1999-01-01",NA,NA,NA,"Italy",NA,NA,NA,NA,"Firenze",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Brantford Harlequins RFC","Club",NA,NA,"Brantford Harlequins; Brantford Harlequins Rugby Football Club",NA,"Canada",NA,NA,NA,NA,"Brantford",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Brussels British SC","Club",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,"Brussels",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Burdekin Canetoads","Club",NA,NA,"Burdekin Cane Toads",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Burdigala Rugby","Club",NA,NA,"Burdigala",NA,"France",NA,NA,NA,NA,"Mérignac",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Burotic Abidjan","Club",NA,NA,NA,NA,"Ivory Coast",NA,NA,NA,NA,"Abidjan",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Bytown Blues Rugby","Club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,"Ottawa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"C.A.O. Esperaza","Club",NA,NA,"C.A.O. Espéraza",NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Club Athlétique Saint Laurent Rugby","Club",NA,NA,"CA Saint Laurent Rugby; CA Saint-Laurent",NA,"France",NA,NA,NA,NA,"Saint-Laurent Nouan",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Capendu","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Capendu",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Burlington Centaurs RFC","Club",NA,NA,"Burlington Centaurs; Centaurs RFC",NA,"England",NA,NA,NA,NA,"Burlington",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CFR Pașcani","Club",NA,NA,"C.F.R. Pașcani",NA,"Romania",NA,NA,NA,NA,"Pașcani",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Club Général d'entraînement","Club",NA,NA,"CGE",NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Chaminuka RFC","Club","1984-01-01",NA,"Chaminuka Rugby Football Club",NA,"Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Chelsea RFC","Club","2015-01-01",NA,"Chelsea Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Chile A national rugby union team","National senior team",NA,NA,"Chile XV; Chili XV",NA,"Chile",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Cigognes de Tarbes","Club",NA,NA,"Cigognes Tarbes",NA,"France",NA,NA,NA,NA,"Tarbes",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Ciorogarla RC","Club",NA,NA,Ciorogarla RC,NA,"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Costructori Buzau","Club",NA,NA,"Contactoare Buzău rugby",NA,"Romania",NA,NA,NA,NA,"Buzău",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Contor Arad rugby","Club",NA,NA,"Contor Arad",NA,"Romania",NA,NA,NA,NA,"Arad",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Cosmopolitan Club de Paris","Club",NA,NA,"Cosmopolitan Club",NA,"France",NA,NA,NA,NA,"Paris",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CREC Rugby Nouméa","Club",NA,NA,"CREC Nouméa; CREC Rugby; Club de Rugby Éducatif et Citoyen Nouméa",NA,"France",NA,NA,NA,NA,"Nouméa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CRICC Caerdydd","Club",NA,NA,"CRICC; Clwb Rygbi Ieuenctid Cymraeg Caerdydd",NA,"Wales",NA,NA,NA,NA,"Cardiff",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CS Metrorex Rugby","Club",NA,NA,"CS Metrorex",NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Clubul Sportiv Școlar Triumf București","Club",NA,NA,"CS Triumf Bucarest; CSS Triumf Bucuresti; CSS Triumf; CSȘ Triumf Bucarest",NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Centre Sud Ardèche Rugby","Club",NA,NA,"CSAR Rugby; CSAR",NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CSCE Rugby Luxembourg","Club",NA,NA,"Cercle Sportif des Communautés Européennes; CSCE Luxembourg",NA,"Luxembourg",NA,NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CSM Bucovina Suceava","Club",NA,NA,"CSM Suceava",NA,"Romania",NA,NA,NA,NA,"Suceava",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CSR Pașcani","Club",NA,NA,NA,NA,"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Cúcuta RC","Club",NA,NA,"Cucuta Rugby Club; Cúcuta RC",NA,"Colombia",NA,NA,NA,NA,"Cúcuta",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Cuyo RC","Club",NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dallas Athletic Rugby Club","Club",NA,NA,"Dallas ARC",NA,"U.S.A.",NA,NA,NA,NA,"Dallas",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dschang RC","Club",NA,NA,NA,NA,"Cameroon",NA,NA,NA,NA,"Dschang",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dubai Exiles RFC","Club",NA,NA,NA,NA,"U.A.E.",NA,NA,NA,NA,"Dubai",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dumbea RC","Club",NA,NA,"Dumbéa RC",NA,"France",NA,NA,NA,NA,"Dumbéa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dundee RC","Club",NA,NA,"Dundee Rugby Club; Dundee Eagles",NA,"Scotland",NA,NA,NA,NA,"Dundee",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dungarvan RFC","Club",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,"Dungarvan",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Dynamo-Energie Kazan","Club",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,"Kazan",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Eastside Banshees Rugby Football Club","Club",NA,NA,"Eastside Banshees RC",NA,"U.S.A.",NA,NA,NA,NA,"Minneapolis",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Edach Budowlani Lublin","Club",NA,NA,NA,NA,"Poland",NA,NA,NA,NA,"Lublin",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Edmonton Nor'Westers Rugby Club","Club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,"Edmonton",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Energia Vulcan","Club",NA,NA,"Energia Vulcan Rugby",NA,"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Energia Bucarest","Club",NA,NA,NA,NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Entente Bordelaise","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Bordeaux",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Entente de la Nivelle","Club",NA,NA,"Entente de La Nivelle",NA,"France",NA,NA,NA,NA,"Saint-Pée-sur-Nivelle",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Entente de la Têt","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Pézilla-la-Rivière",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"EPA Razorbacks Rugby Club","Club",NA,NA,"EPA Razorbacks RC; East Palo Alto Razorbacks Rugby Club",NA,"U.S.A.",NA,NA,NA,NA,"Palo Alto",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Sherbrooke Abenakis RFC","Club","1998-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Sherbrooke",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Barracudas Rugby","Club",NA,NA,"Barracudas Rugby de St-Jean sur Richelieu",NA,"Canada",NA,NA,NA,NA,"St-Jean sur Richelieu",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Mirage de Gatineau","Club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,"Gatineau",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Braves de Trois-Rivières","Club","1993-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Trois-Rivières",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Beauport Logers","Club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,"Beauport",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Nomades Laval-Laurentides-Lanaudières","Club","1990-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Laval",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Patriotes du Vieux-Montréal","Club","2005-01-01","2005-01-01",NA,NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Club de Rugby de Québec","Club","2001-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Rugby Club de Montréal","Club","1995-01-01",NA,"RC de Montréal",NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"XV de Montréal","Club","2010-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Montreal Exiles","Club","2011-01-01",NA,"Montréal Exiles",NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Ormstown Saracens RFC","Club","1972-01-01",NA,"Ormstown Saracens Rugby Football Club",NA,"Canada",NA,NA,NA,NA,"Ormstown",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Ste-Anne-de-Bellevue RFC","Club","1964-01-001",NA,"SABRFC; McDonald College RC",NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Montreal Grads RFC","Club",NA,NA,"McGill Graduates Rugby",NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Chateauguay River Rats RFC","Club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,"Chateauguay",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Beaconsfield RFC","Club","1983-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Beaconsfield",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"St. Lambert Locks RFC","Club","1984-01-01",NA,"Saint-Lambert Locks RFC",NA,"Canada",NA,NA,NA,NA,"Saint-Lambert",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Club de rugby Parc Olympique","Club","1983-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Brome Lake Ducks RFC","Club","1986-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Lac-Brome",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Town of Mount Royal RFC","Club","1955-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Montreal Irish Rugby Football Club","Club","1957-01-01",NA,NA,NA,"Canada",NA,NA,NA,NA,"Montréal",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"ES Lartigue","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Lartigue",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"United States A national rugby union team","National senior team",NA,NA,"États-Unis A; États-Unis XV",NA,"U.S.A.",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Falaleu Marist","Club",NA,NA,"Falaleu Marist Rugby Club",NA,"Tonga",NA,NA,NA,NA,"Falaleu",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Fanga-'o-Pilolevu Rugby Club","Club",NA,NA,"Fanga club; Fanga RC",NA,"Tonga",NA,NA,NA,NA,"Nuku'alofa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Fennecs d'Amoukrouz","Club",NA,NA,"Fennecs d'Amoukrouz (Mauritanie)",NA,"Mauritanie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Fire RC","Club",NA,NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Florentia Rugby","Club",NA,NA,NA,NA,"Italy",NA,NA,NA,NA,"Firenze",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Fontanil OC","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Fontanil",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Franconville RC","Club","1968-01-01","1998-01-01",NA,NA,"France",NA,NA,NA,NA,"Franconville",NA,NA,NA,NA,NA,NA,NA,NA,"Merged into Parisis RC in 1998"
NA,"Fredericton Loyalists Rugby Club","Club",NA,NA,"Fredericton Loyalists; Loyalists Rugby Club",NA,"France",NA,NA,NA,NA,"Fredericton",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Gabarret AS","Club","1910-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Gabarret",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Galveston RFC","Club",NA,NA,"Galveston Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,"Galveston",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Gaunavou Rugby Club","Club",NA,NA,"Gaunavou; Gaunavou RC",NA,"Fiji",NA,NA,NA,NA,"Namotomoto",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Getafe Rugby","Club","1972-01-01",NA,"Getafe Club de Rugby; Getafe Rugby Club",NA,"Spain",NA,NA,NA,NA,"Getafe",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"US Bassin Ginestacois","Club",NA,NA,"Ginestas",NA,"France",NA,NA,NA,NA,"Ginestas",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Girondins ASP","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Bordeaux",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Glebe RU","Club",NA,NA,NA,NA,"Australia",NA,NA,NA,NA,"Glebe",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Gloria Bucarest","Club",NA,NA,NA,NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Grand Rapids Gazelles","Club","1978-01-01",NA,"Grand Rapids Rugby; Grand Rapids Gazelles RFC",NA,"U.S.A.",NA,NA,NA,NA,"Grand Rapids",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Grange Stars RFC ","Club",NA,NA,NA,NA,"Wales",NA,NA,NA,NA,"Cardiff",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"CIACS","Club",NA,NA,"Cardiff Internationals Athletic Club; Grangetown",NA,"Wales",NA,NA,NA,NA,"Cardiff",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Guam RC","Club",NA,NA,NA,NA,"Guam",NA,NA,NA,NA,"Guam",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Hawera RFC","Club","1886-01-01",NA,NA,NA,"New Zealand",NA,NA,NA,NA,"Hāwera",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Hawera Athletic RFC","Club","1925-01-01",NA,NA,NA,"New Zealand",NA,NA,NA,NA,"Hāwera",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Hibernian FC","Club",NA,NA,NA,NA,"Scotland",NA,NA,NA,NA,"Edinburgh",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Hirondelles d'Orthez","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Orthez",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Houston Athletic RC","Club",NA,NA,"HARC; Houston Athletic Rugby Club",NA,"U.S.A.",NA,NA,NA,NA,"Houston",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Hucclecote RFC","Club",NA,NA,NA,NA,"England",NA,NA,NA,NA,"Hucclecote",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Jebel Ali Dragons RFC","Club",NA,NA,"Jebel Ali Dragons RC",NA,"U.A.E.",NA,NA,NA,NA,"Dubai",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Jelgavas Alni","Club",NA,NA,"Jelgavs Alni",NA,"Latvia",NA,NA,NA,NA,"Jelgava",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Jeunesses Illibériennes","Club",NA,NA,"Jeunesses illibériennes; JSI-Elne",NA,"France",NA,NA,NA,NA,"Elne",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"JS Rion","Club",NA,NA,"Jeunesse Sportive Rionnaise",NA,"France",NA,NA,NA,NA,"Rion-des-Landes",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Jeunesse Sports et Loisirs de Normandie","Club",NA,NA,"JSL de Normandie; JSL Normandie",NA,"France",NA,NA,NA,NA,"Nouméa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Kaicolo","Club",NA,NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"West Star Kaliningrad","Club",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,"Kaliningrad",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Kings Hospital School Dublin","Club",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,"Dublin",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Club Papillons Lanzagais","Club",NA,NA,"Lanzac",NA,"France",NA,NA,NA,NA,"Lanzac",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Larne Rugby Football Club","Club",NA,NA,"Larne RFC",NA,"Ireland",NA,NA,NA,NA,"Glynn",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lauli'i Lions","Club",NA,NA,"Laulii; Laulii Lions",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lavengamalie Rugby Club","Club",NA,NA,"Lavengamalie; Lavengamalie RC; Lavengamalie RFC",NA,"Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Little Rock Rugby Club","Club",NA,NA,"Little Rock RC",NA,"U.S.A.",NA,NA,NA,NA,"Little Rock",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Locomotiva Cluj","Club","1950-01-01","1957-01-01","CFR Cluj",NA,"Romania",NA,NA,NA,NA,"Cluj",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Locomotiva PTT Bucuresti","Club","1929-01-01","1949-01-01","Locomotiva PTT; Posta Telegraf Telefon Bucuresti",NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lomaiviti Rugby Club","Club",NA,NA,"Lomaiviti RC; Lomaiviti",NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Long Island Rugby Club","Club","1972-01-01",NA,"Long Island RC; Long Island RFC; Smithtown Rugby Club; Long Island Rugby Rhinos",NA,"U.S.A.",NA,NA,NA,NA,"Long Island",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Louvie sports","Club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Louvie-Juzon",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lugi Lions Rugby Football Club","Club",NA,NA,"Lugi Lions RFC",NA,"Sweden",NA,NA,NA,NA,"Lund",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lupi di Canolo Rugby","Club",NA,NA,"Lupi di Canolo",NA,"Italy",NA,NA,NA,NA,"Correggio",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Maindee FC","Club",NA,NA,NA,NA,"Wales",NA,NA,NA,NA,"Newport",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Manawhenua","Club",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Marbella RC","Club",NA,NA,"Marbella Rugby Club",NA,"Spain",NA,NA,NA,NA,"Marbella",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Marist Ma'ufanga FC","Club",NA,NA,"Marist Ma’ufanga",NA,"Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Marist St Pats Rugby Football Club","Club",NA,NA,"Marist St Pats RFC; Marist St Pats",NA,"New Zealand",NA,NA,NA,NA,"Wellington",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Morocco national under-18 rugby union team","National U18 team",NA,NA,"Maroc junior",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Malawi national rugby union team","National senior team","NA",NA,"Nyasaland national rugby union team; MARU",NA,"Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Mastodontes Catanduva Rugby","Club",NA,NA,"Mastodontes Catanduva RC",NA,"Brazil",NA,NA,NA,NA,"Catanduva",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Metalul București","Club",NA,NA,"Metalul Bucarest; Metalul Bucaresti",NA,"Romania",NA,NA,NA,NA,"Bucharest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Middlesex Wanderers","Club","1883-01-01",NA,"Victoria FC",NA,"England",NA,NA,NA,NA,"London",NA,NA,NA,NA,NA,NA,NA,NA,""
