"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"58","Q518116","France national rugby union team","national rugby union team","1906-01-01",NA,"France national rugby team; les Bleus; França rugby; rubgi França; France rugby team; France rugby union team; Seleccion de rugby de Francia; équipe de France masculine de rugby à XV; les tricolores; XV de France; nazionale francese di rugby; ru fra; RU France; トライ記録（Record d’essais）; Frans rugbyteam (mannen); lo XV de França; los Blaus",NA,"France",NA,NA,"Parc des Princes; Yves du Manoir Stadium; Stade de France","NA; 80698",NA,"france",NA,"France_national_rugby_union_team","%C3%89quipe_de_France_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Francia","Selecci%C3%B3n_de_rugby_de_Francia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BB%A3%E8%A1%A8",NA
"62","Q535106","Gernika RT","rugby union team","1973-01-01",NA,"Bizkaia Gernika; Gernika Rugby Taldea; Basurde","Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,NA,NA,NA,NA,NA,"Gernika_RT","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","%E3%82%B2%E3%83%AB%E3%83%8B%E3%82%ABRT","http://dbpedia.org/resource/Gernika_RT"
"66","Q548893","Royal Kituro Rugby Club","rugby union team","1961-01-01",NA,"Kituro; Kituro Rugby Club; Kituro RC; Royal Kituro Avia Schaerbeek Rugby Club","Belgian Rugby Federation","Belgium","Belgian Elite League",NA,NA,NA,NA,NA,NA,"Royal_Kituro_Rugby_Club","Royal_Kituro_Rugby_Club","Royal_Kituro_Rugby_Club","Kituro_Rugby_Club",NA,"http://dbpedia.org/resource/Royal_Kituro_Rugby_Club"
"67","Q550457","Ukraine national rugby union team","national rugby union team","1991-11-21",NA,"Tîm rygbi'r undeb cenedlaethol Iwcrain; Tim rygbi'r undeb cenedlaethol Wcrain; Tîm rygbi'r undeb cenedlaethol Wcrain; tîm rygbi'r undeb cenedlaethol Wcráin; Seleccion de rugby de Ucrania",NA,"Ukraine",NA,NA,NA,NA,NA,NA,NA,"Ukraine_national_rugby_union_team","%C3%89quipe_d%27Ukraine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Ucraina","Selecci%C3%B3n_de_rugby_de_Ucrania",NA,NA
"68","Q570941","RC Olomouc","rugby union team","1953-01-01",NA,"Rugby Club Olomouc",NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Olomouc",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Olomouc"
"69","Q576485","United States national under-20 rugby union team","rugby union team",NA,NA,"Seleccion juvenil de rugby de Estados Unidos; Junior Eagles",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"United_States_national_under-20_rugby_union_team","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Estados_Unidos","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/United_States_national_under-20_rugby_union_team"
"70","Q580900","Esztergomi Vitézek Rugby SE","rugby union team","1983-01-01",NA,"Esztergomi Vitezek Rugby SE; Esztergomi Vitézek",NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Esztergomi_Vit%C3%A9zek_Rugby_SE",NA,NA,NA,NA,"http://dbpedia.org/resource/Esztergomi_Vitézek_Rugby_SE"
"71","Q585080","FC Barcelona Rugby","rugby union team","1924-09-21",NA,"Futbol Club Barcelona; FC Barcelona Rugbi; FCB rugbi; Futbol Club Barcelona rugbi; Fútbol Club Barcelona (rugby); Barcelona; Futbol Club Barcelona Rugby; blaugrana","Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Camp de Rugbi La Teixonera",NA,NA,NA,NA,"FC_Barcelona_Rugby","FC_Barcelone_(rugby_%C3%A0_XV)","Futbol_Club_Barcelona_rugbi","F%C3%BAtbol_Club_Barcelona_(rugby)","FC%E3%83%90%E3%83%AB%E3%82%BB%E3%83%AD%E3%83%8A_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/FC_Barcelona_Rugby"
"73","Q591846","Democratic Republic of the Congo national rugby union team","national rugby union team",NA,NA,"DR Congo national rugby union team",NA,"D.R. of the Congo",NA,NA,NA,NA,NA,NA,NA,"DR_Congo_national_rugby_union_team","%C3%89quipe_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Repubblica_Democratica_del_Congo",NA,NA,"http://dbpedia.org/resource/DR_Congo_national_rugby_union_team"
"74","Q592714","Valladolid RAC","rugby union club","1986-01-01",NA,"Valladolid Rugby Asociacion Club; Valladolid Rugby Asociación Club; VRAC; VRAC Quesos Entrepinares; los queseros","Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Estadio Pepe Rojo","5000",NA,NA,NA,"Valladolid_RAC","Valladolid_Rugby_Asociaci%C3%B3n_Club","Valladolid_Rugby_Asociaci%C3%B3n_Club","Valladolid_Rugby_Asociaci%C3%B3n_Club","%E3%83%90%E3%83%AA%E3%83%A3%E3%83%89%E3%83%AA%E3%83%83%E3%83%89RAC","http://dbpedia.org/resource/Valladolid_RAC"
