"name","tier","division","country","wikidataId","homonyms"
"Mission",8,"Eastern Province Rugby Union","South Africa","",""
"Motherwell",8,"Eastern Province Rugby Union","South Africa","",""
"Murraysburg",8,"Eastern Province Rugby Union","South Africa","",""
"Noupoort Diamonds",8,"Eastern Province Rugby Union","South Africa","",""
"Old Grey",8,"Eastern Province Rugby Union","South Africa","",""
"Orlando Eagles",8,"Eastern Province Rugby Union","South Africa","",""
"Park",8,"Eastern Province Rugby Union","South Africa","",""
"Paterson Lions",8,"Eastern Province Rugby Union","South Africa","",""
"Pearston Villagers",8,"Eastern Province Rugby Union","South Africa","",""
"Port Elizabeth College",8,"Eastern Province Rugby Union","South Africa","",""
"Port Elizabeth Crusaders",8,"Eastern Province Rugby Union","South Africa","",""
"Port Elizabeth Harlequins",8,"Eastern Province Rugby Union","South Africa","",""
"Port Elizabeth Villagers",8,"Eastern Province Rugby Union","South Africa","",""
"Progress",8,"Eastern Province Rugby Union","South Africa","",""
"Red Lions",8,"Eastern Province Rugby Union","South Africa","",""
"Rhodes",8,"Eastern Province Rugby Union","South Africa","",""
"Rosebuds",8,"Eastern Province Rugby Union","South Africa","",""
"Scorpions",8,"Eastern Province Rugby Union","South Africa","","Q7435412"
"Siyakhula",8,"Eastern Province Rugby Union","South Africa","",""
"St Cyprian's",8,"Eastern Province Rugby Union","South Africa","",""
"St Francis Sharks",8,"Eastern Province Rugby Union","South Africa","",""
"St Mark's",8,"Eastern Province Rugby Union","South Africa","",""
"Star of Hope",8,"Eastern Province Rugby Union","South Africa","",""
"Steytlerville Dolphins",8,"Eastern Province Rugby Union","South Africa","",""
"Steytlerville United",8,"Eastern Province Rugby Union","South Africa","",""
"Suburban",8,"Eastern Province Rugby Union","South Africa","",""
"Sunday Stars",8,"Eastern Province Rugby Union","South Africa","",""
"Trying Stars",8,"Eastern Province Rugby Union","South Africa","",""
"United Barbarians",8,"Eastern Province Rugby Union","South Africa","",""
"Visitors",8,"Eastern Province Rugby Union","South Africa","",""
"Walmer Wales",8,"Eastern Province Rugby Union","South Africa","",""
"Walmer Wallabies",8,"Eastern Province Rugby Union","South Africa","","Q622443"
"Wanders",8,"Eastern Province Rugby Union","South Africa","",""
"Windvogel United",8,"Eastern Province Rugby Union","South Africa","",""
"Bloemfontein Collegians",8,"Free State Rugby Union","South Africa","",""
"Bloemfontein Defence Force",8,"Free State Rugby Union","South Africa","",""
"Mangaung",8,"Free State Rugby Union","South Africa","",""
"Old Greys",8,"Free State Rugby Union","South Africa","",""
"Steyners",8,"Free State Rugby Union","South Africa","",""
"Warriors",8,"Free State Rugby Union","South Africa","","Q7970819; Q7487669; Q16938068"
"Alberton",8,"Golden Lions Rugby Union","South Africa","",""
"Alexandra",8,"Golden Lions Rugby Union","South Africa","",""
"Diggers",8,"Golden Lions Rugby Union","South Africa","",""
"Eldoronians",8,"Golden Lions Rugby Union","South Africa","",""
"Germiston Simmer",8,"Golden Lions Rugby Union","South Africa","",""
"Jabulani",8,"Golden Lions Rugby Union","South Africa","",""
"Johannesburg Police",8,"Golden Lions Rugby Union","South Africa","",""
"Khosa",8,"Golden Lions Rugby Union","South Africa","",""
"Randfontein",8,"Golden Lions Rugby Union","South Africa","",""
"Soweto",8,"Golden Lions Rugby Union","South Africa","",""
"UJ",8,"Golden Lions Rugby Union","South Africa","",""
"Wasps",8,"Golden Lions Rugby Union","South Africa","","Q7972726; Q7972728; Q1150127"
"Wes Wits",8,"Golden Lions Rugby Union","South Africa","",""
"Beatrix",8,"Griffons Rugby Union","South Africa","",""
"Bethlehem Collegians",8,"Griffons Rugby Union","South Africa","",""
