"nation","name","url"
"Argentina","Diego Domínguez","https://en.wikipedia.org/wiki/Diego_Dom%C3%ADnguez_(rugby_union)"
"Argentina","Christian Martin",NA
"Argentina","Sergio Bunader",NA
"Argentina","Adrián Rocca",NA
"Argentina","Javier Grondona",NA
"Argentina","Ricardo Zanero",NA
"Argentina","Matías Allen","https://en.wikipedia.org/wiki/Mat%C3%ADas_Allen"
"Argentina","Pablo Garzon",NA
"Argentina","Manuel Aguirre","https://en.wikipedia.org/wiki/Manuel_Aguirre_(rugby_union)"
"Argentina","Rodrigo Crexell","https://en.wikipedia.org/wiki/Rodrigo_Crexell"
"Argentina","Santiago Ezcurra",NA
"Argentina","Hernán García Simón","https://en.wikipedia.org/wiki/Hern%C3%A1n_Garc%C3%ADa_Sim%C3%B3n"
"Argentina","Ricardo Le Fort","https://en.wikipedia.org/wiki/Ricardo_Le_Fort"
"Argentina","Germán Llanes","https://en.wikipedia.org/wiki/Germ%C3%A1n_Llanes"
"Argentina","Agustín Macome","https://en.wikipedia.org/wiki/Agust%C3%ADn_Macome"
"Argentina","Federico Méndez Azpillaga","https://en.wikipedia.org/wiki/Federico_M%C3%A9ndez"
"Argentina","Pedro Sporleder","https://en.wikipedia.org/wiki/Pedro_Sporleder"
"Argentina","Lisandro Arbizu","https://en.wikipedia.org/wiki/Lisandro_Arbizu"
"Argentina","Gonzalo Camardón","https://en.wikipedia.org/wiki/Gonzalo_Camard%C3%B3n"
"Argentina","Emilio Ezcurra",NA
"Argentina","Guillermo del Castillo","https://en.wikipedia.org/wiki/Guillermo_del_Castillo"
"Argentina","José Santamarina","https://en.wikipedia.org/wiki/Jos%C3%A9_Santamarina"
"Argentina","Martín Terán","https://en.wikipedia.org/wiki/Mart%C3%ADn_Ter%C3%A1n"
"Argentina","Fernando Buabse",NA
"Argentina","Rafael Bullrich",NA
"Argentina","Juan Luis Damioli",NA
"Argentina","Rodolfo Etchegoyen",NA
"Argentina","Lucas Herrera",NA
"Argentina","Martín Lanfranco",NA
"Argentina","Alejandro Marguery",NA
"Argentina","MendezFederico Méndez","https://en.wikipedia.org/wiki/Federico_M%C3%A9ndez"
"Argentina","Julio José Paz",NA
"Argentina","Franco Rossi",NA
"Argentina","Guillermo Ugartemendia",NA
"Argentina","Marcelo Urbano","https://en.wikipedia.org/wiki/Marcelo_Urbano"
"Argentina","Ariel Mammana",NA
"Argentina","Eduardo Pittinari",NA
"Argentina","Patricio Noriega","https://en.wikipedia.org/wiki/Patricio_Noriega"
"Argentina","Alejandro Tolomei",NA
"Argentina","Eduardo Laborde","https://en.wikipedia.org/wiki/Eduardo_Laborde"
"Argentina","Mariano Bosch","https://en.wikipedia.org/wiki/Mariano_Bosch"
"Argentina","Francisco Irarrázaval","https://en.wikipedia.org/wiki/Francisco_Irarr%C3%A1zaval"
"Argentina","Luis Criscuolo",NA
"Argentina","Raúl Pérez","https://en.wikipedia.org/wiki/Ra%C3%BAl_P%C3%A9rez_(rugby_union)"
"Argentina","Normando Ferrari",NA
"Argentina","Eduardo Garbarino",NA
"Argentina","Matías Roby",NA
"Argentina","Leandro Bouza",NA
"Argentina","Gonzalo García Orsetti",NA
"Argentina","Pablo Cremaschi",NA
"Argentina","Roberto Grau","https://en.wikipedia.org/wiki/Roberto_Diego_Grau"
"Argentina","Sebastián Irazoqui","https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Irazoqui"
"Argentina","Diego Silvetti",NA
"Argentina","Martín Grau",NA
