"playerId"  , "playerName"                    , "teamWdId"  , "teamRsId", "teamName"                                       , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q725555"   , "J. P. R. Williams"             , "Q2925165"  , "440"     , "Bridgend Ravens"                                , "1962"     , "1967"   , NA             , NA            , "WD; esWP; frWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q6006755"  , "1360"    , "Imperial Medicals Rugby Club"                   , "1967"     , "1968"   , NA             , NA            , "frWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q1048688"  , "201"     , "London Welsh RFC"                               , "1968"     , "1976"   , NA             , "649"         , "WD; frWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q807749"   , "136"     , "Barbarian FC"                                   , "1969"     , "1977"   , "11"           , "50"          , "WD; frWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q7820811"  , "1887"    , "Tondu RFC"                                      , "1969"     , "1977"   , NA             , NA            , "frWP"
"Q725555"   , "J. P. R. Williams"             , "Q822877"   , "143"     , "Wales national rugby union team"                , "1969"     , "1981"   , "55"           , "36"          , "WD; frWP; itWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q733600"   , "118"     , "British & Irish Lions"                          , "1971"     , "1971"   , "4"            , "2"           , "WD; frWP; itWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q733600"   , "118"     , "British & Irish Lions"                          , "1974"     , "1974"   , "4"            , "2"           , "WD; frWP; itWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q744636"   , "121"     , "Sharks"                                         , "1974"     , "1974"   , NA             , NA            , "esWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q1048688"  , "201"     , "London Welsh RFC"                               , "1974"     , "1977"   , NA             , NA            , "esWP"
"Q725555"   , "J. P. R. Williams"             , "Q2925165"  , "440"     , "Bridgend Ravens"                                , "1977"     , "1999"   , NA             , NA            , "esWP; WD; frWP; enWP"
"Q725555"   , "J. P. R. Williams"             , "Q7820811"  , "1887"    , "Tondu RFC"                                      , "1999"     , "2003"   , NA             , NA            , "enWP"
"Q743330"   , "Alex Brown"                    , "Q1127974"  , "215"     , "Pontypool RFC"                                  , "1997"     , "1999"   , "44"           , "20"          , "itWP"
"Q743330"   , "Alex Brown"                    , "Q810786"   , "138"     , "Bath Rugby"                                     , "1998"     , "1999"   , NA             , NA            , "WD; frWP; enWP"
"Q743330"   , "Alex Brown"                    , "Q1127974"  , "215"     , "Pontypool RFC"                                  , "1999"     , "2000"   , NA             , NA            , "WD; frWP; enWP"
"Q743330"   , "Alex Brown"                    , "Q917973"   , "162"     , "Bristol Bears"                                  , "2000"     , "2003"   , "86"           , "20"          , "itWP; WD; frWP; enWP"
"Q743330"   , "Alex Brown"                    , "Q3873497"  , "824"     , "England A national rugby union team"            , "2003"     , "2003"   , NA             , NA            , "WD; enWP"
"Q743330"   , "Alex Brown"                    , "Q745758"   , "122"     , "Gloucester Rugby"                               , "2003"     , "2013"   , "233"          , "42"          , "itWP; enWP; WD; frWP"
"Q743330"   , "Alex Brown"                    , "Q378628"   , "39"      , "England national rugby union team"              , "2006"     , "2007"   , "3"            , "0"           , "WD; frWP; itWP; enWP"
"Q743330"   , "Alex Brown"                    , "Q5133308"  , "1101"    , "Clifton RFC"                                    , NA         , NA       , NA             , NA            , "enWP"
"Q761487"   , "Mathieu Bastareaud"            , NA          , "4947"    , "RC Creteil Choisy"                              , "1995"     , "2004"   , NA             , NA            , "frWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q46387"    , "5"       , "RC Massy"                                       , "2004"     , "2007"   , "14"           , "25"          , "WD; frWP; esWP; itWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q20967019" , "2469"    , "France national under-19 rugby union team"      , "2006"     , "2007"   , "10"           , "15"          , "frWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q1361000"  , "252"     , "Stade Français Rugby"                           , "2007"     , "2011"   , "99"           , "103"         , "WD; frWP; itWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q5478456"  , "1249"    , "France national under-20 rugby union team"      , "2008"     , "2008"   , "6"            , "15"          , "WD; frWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q518116"   , "58"      , "France national rugby union team"               , "2009"     , "2019"   , "54"           , "25"          , "WD; jaWP; frWP; itWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q1857064"  , "315"     , "RC Toulonnais"                                  , "2011"     , "2019"   , "211"          , "125"         , "WD; frWP; itWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q4075"     , "1"       , "Lyon OU"                                        , "2019"     , "2020"   , "7"            , "5"           , "WD; frWP; itWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q54953803" , "2699"    , "Rugby New York"                                 , "2020"     , "2020"   , "5"            , "10"          , "itWP; WD; frWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q4075"     , "1"       , "Lyon OU"                                        , "2020"     , "2022"   , "13"           , "10"          , "frWP; itWP; esWP; enWP"
"Q761487"   , "Mathieu Bastareaud"            , "Q1857064"  , "315"     , "RC Toulonnais"                                  , "2022"     , "2023"   , "20"           , "10"          , "frWP; esWP; enWP"
"Q972956"   , "Jamie Noon"                    , "Q910657"   , "160"     , "Newcastle Red Bulls"                            , "1998"     , "2010"   , "203"          , "260"         , "enWP"
"Q972956"   , "Jamie Noon"                    , NA          , "7088"    , "England national under-21 rugby union team"     , "1999"     , "1999"   , NA             , NA            , "frWP"
"Q972956"   , "Jamie Noon"                    , "Q910657"   , "160"     , "Newcastle Red Bulls"                            , "1999"     , "2009"   , "242"          , "275"         , "WD; frWP"
"Q972956"   , "Jamie Noon"                    , "Q378628"   , "39"      , "England national rugby union team"              , "2001"     , "2009"   , "38"           , "35"          , "WD; frWP; enWP"
"Q972956"   , "Jamie Noon"                    , "Q1022912"  , "197"     , "CA Brive"                                       , "2009"     , "2013"   , "100"          , "40"          , "WD; frWP"
"Q972956"   , "Jamie Noon"                    , "Q1022912"  , "197"     , "CA Brive"                                       , "2010"     , "2013"   , "100"          , "40"          , "enWP"
"Q972956"   , "Jamie Noon"                    , "Q3494126"  , "658"     , "Sporting club tulliste"                         , "2013"     , "2014"   , "11"           , "10"          , "WD; frWP; enWP"
"Q972956"   , "Jamie Noon"                    , NA          , "4327"    , "Whitby RFC"                                     , NA         , NA       , NA             , NA            , "enWP"
"Q1053176"  , "Naas Botha"                    , "Q885646"   , "156"     , "Bulls"                                          , "1977"     , "1995"   , "179"          , "2511"        , "esWP; itWP; WD; frWP; enWP"
"Q1053176"  , "Naas Botha"                    , "Q498478"   , "52"      , "South Africa national rugby union team"         , "1980"     , "1992"   , "28"           , "312"         , "WD; frWP; itWP; enWP"
"Q1053176"  , "Naas Botha"                    , "Q5211339"  , "1165"    , "Dallas Harlequins R.F.C."                       , "1984"     , "1984"   , NA             , NA            , "itWP; esWP"
"Q1053176"  , "Naas Botha"                    , "Q3651754"  , "807"     , "World XV"                                       , "1986"     , "1986"   , NA             , NA            , "enWP"
"Q1053176"  , "Naas Botha"                    , "Q979797"   , "194"     , "Rugby Rovigo"                                   , "1987"     , "1993"   , "119"          , "1731"        , "esWP; WD; frWP; itWP; enWP"
"Q1053176"  , "Naas Botha"                    , "Q3651754"  , "807"     , "World XV"                                       , "1992"     , "1992"   , NA             , NA            , "enWP"
