"playerId","playerName","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q8003182","Will Welch","Q910657",160,"Newcastle Falcons",2009,2023,275,55,"WD; enWP"
"Q8003604","Willem Serfontein","Q3046571",495,"Eastern Province Kings",2005,2006,NA,NA,"enWP"
"Q8003604","Willem Serfontein","Q885646",156,"Bulls",2008,2009,8,5,"enWP"
"Q8003604","Willem Serfontein","Q1170708",233,"Pumas",2010,2013,62,5,"enWP"
"Q8003604","Willem Serfontein","Q7565434",1809,"South African Barbarians",2012,2012,1,0,"enWP"
"Q8003604","Willem Serfontein","Q1170716",234,"Griquas",2014,2014,10,5,"enWP"
"Q8003604","Willem Serfontein","Q266149",22,"Cheetahs",2014,2016,3,0,"enWP"
"Q8003604","Willem Serfontein","Q266149",22,"Cheetahs",2015,2016,4,0,"enWP"
"Q8003604","Willem Serfontein","Q3116637",531,"Griffons",2015,2017,20,5,"enWP"
"Q8003604","Willem Serfontein","Q266149",22,"Cheetahs",2016,2016,1,0,"enWP"
"Q8003749","Willi Heinz","Q104855938",2903,"Canterbury",2009,2014,70,65,"jaWP; frWP; itWP; enWP"
"Q8003749","Willi Heinz","Q959847",188,"Crusaders",2010,2014,58,26,"frWP; enWP"
"Q8003749","Willi Heinz","Q959847",188,"Crusaders",2010,2015,60,22,"WD; jaWP; itWP"
"Q8003749","Willi Heinz","Q745758",122,"Gloucester Rugby",2015,2021,100,95,"WD; frWP; enWP"
"Q8003749","Willi Heinz","Q745758",122,"Gloucester Rugby",2015,2022,80,85,"itWP"
"Q8003749","Willi Heinz","Q378628",39,"England national rugby union team",2019,2020,13,0,"WD; jaWP; frWP; itWP; enWP"
"Q8003749","Willi Heinz","Q2094512",332,"Worcester Warriors",2021,2022,6,10,"jaWP; frWP; itWP; enWP"
"Q8003749","Willi Heinz","Q104855938",2903,"Canterbury",2022,NA,12,11,"frWP; itWP; enWP"
"Q8003749","Willi Heinz","Q959847",188,"Crusaders",2023,2023,10,15,"jaWP; itWP"
"Q8003749","Willi Heinz","Q959847",188,"Crusaders",2023,2024,21,11,"enWP"
"Q8004251","William Alexander","Q822877",143,"Wales national rugby union team",1898,1901,NA,6,"WD"
"Q8004251","William Alexander","Q5566543",1264,"Glamorgan Police RFC",NA,NA,NA,NA,"WD"
"Q8004251","William Alexander","Q5572999",1270,"Glynneath RFC",NA,NA,NA,NA,"WD"
"Q8004287","William Alexander Ross","Q945016",176,"Scotland national rugby union team",1937,1937,NA,0,"WD"
"Q8005020","William Banks","Q936108",168,"Maesteg RFC",NA,NA,NA,NA,"WD"
"Q8005020","William Banks","Q3469726",643,"Salford Red Devils",NA,NA,NA,NA,"WD"
"Q8005020","William Banks","Q3565244",729,"Wakefield Trinity",NA,NA,NA,NA,"WD"
"Q8006136","William Bunting","Q378628",39,"England national rugby union team",1897,1901,9,0,"WD; enWP"
"Q8006521","William Canniffe","Q622443",86,"Australia national rugby union team",1907,1907,1,0,"WD; enWP"
"Q8006643","William Cave","Q733600",118,"British & Irish Lions",1903,1903,3,3,"WD; enWP"
"Q8006643","William Cave","Q378628",39,"England national rugby union team",1905,1905,1,0,"WD; enWP"
"Q8006643","William Cave","Q807749",136,"Barbarian FC",NA,NA,NA,NA,"WD"
"Q8006643","William Cave","Q2481690",365,"Blackheath F.C.",NA,NA,NA,NA,"WD"
"Q8006643","William Cave","Q2934697",454,"Cambridge University RUFC",NA,NA,NA,NA,"WD"
"Q8007106","William Cope, 1st Baron Cope","Q842510",151,"Cardiff RFC",1891,1895,0,0,"WD; enWP"
"Q8007106","William Cope, 1st Baron Cope","Q807749",136,"Barbarian FC",1891,NA,0,0,"WD; enWP"
"Q8007106","William Cope, 1st Baron Cope","Q822877",143,"Wales national rugby union team",1896,1896,1,0,"WD; enWP"
"Q8007106","William Cope, 1st Baron Cope","Q2481690",365,"Blackheath F.C.",NA,NA,NA,NA,"WD"
"Q8007106","William Cope, 1st Baron Cope","Q2934697",454,"Cambridge University RUFC",NA,NA,NA,NA,"WD"
"Q8007318","William Cross","Q945016",176,"Scotland national rugby union team",1871,1872,2,1,"WD; enWP"
