"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","1962","1963","Pontypool RFC",NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","1963","1965","Llanelli RFC","Llanelli_RFC",NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","1965","1967","Swansea RFC","Swansea_RFC",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","69","141"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2006","2009","Natal Sharks","Natal_Sharks",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2007","2009","Sharks","Sharks",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2009","2012","Racing Métro 92","Racing_92",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2012","2014","Sharks","Sharks",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2014","2015","Toshiba Brave Lupus",NA,NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2015","2016","Sharks","Sharks",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2016","2020","Montpellier","Montpellier_H%C3%A9rault_Rugby",NA,NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","2020","2023","Cheetahs","Cheetahs",NA,NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse",NA,NA,"Italia","Selecci%C3%B3n_de_rugby_de_Italia","142","83"
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","2002","2003","Universitario de La Plata","Club_Universitario_de_La_Plata",NA,NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","2003","2005","Benetton Treviso","Benetton_Rugby_Treviso",NA,NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","2005","2019","Stade Français","Stade_Fran%C3%A7ais_Paris",NA,NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","2019","2023","RC Toulon","Rugby_Club_Toulonnais",NA,NA
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","50",NA
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","2010","2011","Hurricanes","Hurricanes_(rugby)",NA,NA
