name,number,opponent,date_of_debut,caps,url
Stewart Armit Macdonald Bruce,98,England,05/02/1883,3,https://en.wikipedia.org//w/index.php?title=Stewart_Armit_Macdonald_Bruce&action=edit&redlink=1
David Francis Moore,99,England,05/02/1883,4,https://en.wikipedia.org//w/index.php?title=David_Francis_Moore_(rugby_union)&action=edit&redlink=1
Henry King,100,England,05/02/1883,2,https://en.wikipedia.org//w/index.php?title=Henry_King_(rugby_union)&action=edit&redlink=1
Samuel Collier,101,Scotland,17/02/1883,1,https://en.wikipedia.org//w/index.php?title=Samuel_Collier&action=edit&redlink=1
Daniel Ross,102,England,04/02/1884,5,https://en.wikipedia.org//w/index.php?title=Daniel_Ross_(rugby_union)&action=edit&redlink=1
William Higgins,103,England,04/02/1884,2,https://en.wikipedia.org//w/index.php?title=William_Higgins_(rugby_union)&action=edit&redlink=1
Francis Levis,104,England,04/02/1884,1,https://en.wikipedia.org//w/index.php?title=Francis_Levis&action=edit&redlink=1
Henry Brabazon,105,England,04/02/1884,3,https://en.wikipedia.org//w/index.php?title=Henry_Brabazon&action=edit&redlink=1
William Rutherford,106,England,04/02/1884,6,https://en.wikipedia.org//w/index.php?title=William_Rutherford_(rugby_union)&action=edit&redlink=1
John O'Sullivan,107,Scotland,16/02/1884,2,"https://en.wikipedia.org//w/index.php?title=John_O%27Sullivan_(rugby_union,_born_1865)&action=edit&redlink=1"
George Wheeler,108,Scotland,16/02/1884,2,https://en.wikipedia.org//w/index.php?title=George_Wheeler_(rugby_union)&action=edit&redlink=1
Lewis MacIntosh,109,Scotland,16/02/1884,1,https://en.wikipedia.org//w/index.php?title=Lewis_MacIntosh&action=edit&redlink=1
Walter Blake Kelly,110,Scotland,16/02/1884,1,https://en.wikipedia.org//w/index.php?title=Walter_Blake_Kelly&action=edit&redlink=1
Thomas Henry Montague Hobbs,111,Scotland,16/02/1884,2,https://en.wikipedia.org//w/index.php?title=Thomas_Henry_Montague_Hobbs&action=edit&redlink=1
Alexander Gordon,112,Scotland,16/02/1884,1,https://en.wikipedia.org//w/index.php?title=Alexander_Gordon_(rugby_union)&action=edit&redlink=1
Forbes Maguire,113,Scotland,16/02/1884,1,https://en.wikipedia.org//w/index.php?title=Forbes_Maguire&action=edit&redlink=1
Robert Warren,114,England,07/02/1885,15,https://en.wikipedia.org//w/index.php?title=Robert_Warren_(rugby_union)&action=edit&redlink=1
William Hallaran,115,Wales,12/03/1884,1,https://en.wikipedia.org//wiki/William_Hallaran
