name,dob,pob,career_stage,years,teams,apps,points
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",senior_club,2003-2005,castres olympique,38,0
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",senior_club,2005-2010,ulster,79,0
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",international,1998-2003,ireland,26,0
Trevor Brennan,1973-09-22,"leixlip,ireland",amateur,2001-2002,barnhallbective rangersst marys college rfc,0,0
Trevor Brennan,1973-09-22,"leixlip,ireland",senior_club,2002-2007,stade toulousain,126,35
Trevor Brennan,1973-09-22,"leixlip,ireland",senior_club,1996-2001,leinster rugby,47,5
Trevor Brennan,1973-09-22,"leixlip,ireland",international,1998-2001,ireland,13,0
Matt Mostyn,1974-09-10,"sydney,nsw,australia",amateur,-,galwegians,0,0
Matt Mostyn,1974-09-10,"sydney,nsw,australia",senior_club,1998-1999,bègles-bordeaux,0,0
Matt Mostyn,1974-09-10,"sydney,nsw,australia",senior_club,2000-2003,newport,80,250
Matt Mostyn,1974-09-10,"sydney,nsw,australia",senior_club,1995-1998,nsw,0,0
Matt Mostyn,1974-09-10,"sydney,nsw,australia",senior_club,"1999-00, 2003-08",connacht,100,115
Matt Mostyn,1974-09-10,"sydney,nsw,australia",international,1999,ireland,6,15
Alan Quinlan,1974-07-13,"tipperary,ireland",amateur,1994-2011,clanwilliamshannon,0,0
Alan Quinlan,1974-07-13,"tipperary,ireland",senior_club,1996-2011,munster,212,165
Alan Quinlan,1974-07-13,"tipperary,ireland",international,1999-2008,ireland,27,30
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",amateur,1995-1996,ucc,5,54
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",amateur,1996-2003,cork constitution,64,714
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",senior_club,1997-2013,munster,240,2625
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",international,1999,ireland a,1,0
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",international,2000-2013,ireland,128,1083
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",international,2001-2009,british & irish lions,2,0
Peter Stringer,1977-12-13,"cork,ireland",amateur,1900-2013,shannon,0,0
Peter Stringer,1977-12-13,"cork,ireland",senior_club,1998-2013,munster,230,55
Peter Stringer,1977-12-13,"cork,ireland",senior_club,2011-2012,→saracens(loan),11,5
Peter Stringer,1977-12-13,"cork,ireland",senior_club,2012,→newcastle falcons(loan),5,5
Peter Stringer,1977-12-13,"cork,ireland",senior_club,2013-2015,bath,62,25
Peter Stringer,1977-12-13,"cork,ireland",senior_club,2015-2017,sale sharks,39,0
Peter Stringer,1977-12-13,"cork,ireland",senior_club,2017-2018,worcester warriors,6,0
Peter Stringer,1977-12-13,"cork,ireland",international,2000-2011,ireland,98,30
Peter Stringer,1977-12-13,"cork,ireland",international,2009-2010,ireland wolfhounds,3,0
Peter Stringer,1977-12-13,"cork,ireland",international,2000-2011,barbarians,2,0
Frankie Sheahan,1976-08-27,"toronto,canada",amateur,1997–2009,cork constitution,0,0
Frankie Sheahan,1976-08-27,"toronto,canada",amateur,1994–1997,ucc,0,0
Frankie Sheahan,1976-08-27,"toronto,canada",senior_club,1996-2009,munster,163,110
Frankie Sheahan,1976-08-27,"toronto,canada",international,2000–2007,ireland,29,25
Frankie Sheahan,1976-08-27,"toronto,canada",international,1999–2008,ireland a,6,0
Tyrone Howe,1971-04-02,"newtownards,northern ireland",amateur,-,banbridgeuniversity of st andrewsberliner rugby clubdungannon,0,0
Tyrone Howe,1971-04-02,"newtownards,northern ireland",senior_club,-,ulster,0,0
Tyrone Howe,1971-04-02,"newtownards,northern ireland",international,2001,british & irish lions,14,30
Tyrone Howe,1971-04-02,"newtownards,northern ireland",international,2000-2006,ireland,0,0
Paul O'Connell,1979-10-20,"limerick,ireland",amateur,1900-2010,young munster,0,0
Paul O'Connell,1979-10-20,"limerick,ireland",senior_club,2001-2015,munster,178,95
Paul O'Connell,1979-10-20,"limerick,ireland",senior_club,2015-2016,toulon,0,0
Paul O'Connell,1979-10-20,"limerick,ireland",international,2002-2015,ireland,108,40
Paul O'Connell,1979-10-20,"limerick,ireland",international,"2005,2009,2013",british & irish lions,7,0
Donncha O'Callaghan,1979-03-24,"cork, ireland",amateur,1900-2015,cork constitution,0,0
Donncha O'Callaghan,1979-03-24,"cork, ireland",senior_club,1998-2015,munster,268,40
Donncha O'Callaghan,1979-03-24,"cork, ireland",senior_club,2015-2018,worcester warriors,63,5
Donncha O'Callaghan,1979-03-24,"cork, ireland",international,2002-2003,ireland a,7,0
Donncha O'Callaghan,1979-03-24,"cork, ireland",international,2003-2013,ireland,94,5
Donncha O'Callaghan,1979-03-24,"cork, ireland",international,2005-2009,british & irish lions,4,0
Donncha O'Callaghan,1979-03-24,"cork, ireland",international,2014-2017,barbarians,2,0
Anthony Horgan,1976-11-15,"cork,ireland",amateur,1995-2011,cork constitution,0,0
Anthony Horgan,1976-11-15,"cork,ireland",senior_club,1997-2009,munster,146,205
Anthony Horgan,1976-11-15,"cork,ireland",international,2003-05,ireland,7,5
Anthony Horgan,1976-11-15,"cork,ireland",international,2000-05,ireland a,9,35
Aidan McCullen,1977-01-05,"dublin,ireland",amateur,1999-2001,lansdowne,0,0
Aidan McCullen,1977-01-05,"dublin,ireland",senior_club,2006–2008,london irish,14,0
Aidan McCullen,1977-01-05,"dublin,ireland",senior_club,2005–2006,toulouse,11,0
Aidan McCullen,1977-01-05,"dublin,ireland",senior_club,2001–2005,leinster,57,30
Aidan McCullen,1977-01-05,"dublin,ireland",senior_club,1998–1999,dax,0,0
Aidan McCullen,1977-01-05,"dublin,ireland",international,2003,ireland,1,0
Aidan McCullen,1977-01-05,"dublin,ireland",international,1998,ireland u21,0,0
Denis Leamy,1981-11-27,"cashel,ireland",amateur,1994-1995,cashel,0,0
Denis Leamy,1981-11-27,"cashel,ireland",amateur,1996-2002,rockwell,0,0
Denis Leamy,1981-11-27,"cashel,ireland",amateur,2002-2012,ucc,0,0
Denis Leamy,1981-11-27,"cashel,ireland",senior_club,2002-2012,munster,145,150
Denis Leamy,1981-11-27,"cashel,ireland",international,2004-2011,ireland,57,10
Roger Wilson,1981-09-21,"belfast, northern ireland",amateur,2017-,instonians,0,0
Roger Wilson,1981-09-21,"belfast, northern ireland",amateur,2002–2003,belfast harlequins,0,0
Roger Wilson,1981-09-21,"belfast, northern ireland",amateur,2000–2002,dublin university,0,0
Roger Wilson,1981-09-21,"belfast, northern ireland",senior_club,2012–2017,ulster,104,15
Roger Wilson,1981-09-21,"belfast, northern ireland",senior_club,2008–2012,northampton,117,25
Roger Wilson,1981-09-21,"belfast, northern ireland",senior_club,2003–2008,ulster,113,55
Roger Wilson,1981-09-21,"belfast, northern ireland",international,2014,world xv,1,0
Roger Wilson,1981-09-21,"belfast, northern ireland",international,2014,barbarians,1,0
Roger Wilson,1981-09-21,"belfast, northern ireland",international,2005,ireland,1,0
Roger Wilson,1981-09-21,"belfast, northern ireland",international,2005–2008,ireland a,12,5
Rory Best,1982-08-15,"craigavon,northern ireland",amateur,2000-2003,banbridge rfc,0,0
Rory Best,1982-08-15,"craigavon,northern ireland",senior_club,2004-2019,ulster,218,115
Rory Best,1982-08-15,"craigavon,northern ireland",international,2010,ireland wolfhounds,1,0
Rory Best,1982-08-15,"craigavon,northern ireland",international,2005-2019,ireland,124,60
Rory Best,1982-08-15,"craigavon,northern ireland",international,"2013,2017",british & irish lions,0,0
Jerry Flannery,1978-10-17,"galway,ireland",amateur,-,shannon,0,0
Jerry Flannery,1978-10-17,"galway,ireland",senior_club,2001-2003,connacht,6,0
Jerry Flannery,1978-10-17,"galway,ireland",senior_club,2003-2012,munster,93,40
Jerry Flannery,1978-10-17,"galway,ireland",international,2005-2011,ireland,41,15
Jerry Flannery,1978-10-17,"galway,ireland",international,2009,british & irish lions,0,0
