"name","tier","division","country","wikidataId","homonyms"
"Griffith Uni Colleges Knights Rugby Union Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Helensvale Hogs RUC",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q24185131",""
"Hinterland Celtics Rugby Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Nerang Bulls RUC",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q24185130",""
"Palm Beach Currumbin Alleygators RUC",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q23020848",""
"Surfers Paradise Dolphins",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q22681306",""
"Tamborine Mountain Rugby",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Bowen Rugby",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"Brothers Mackay",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"City Rugby Club",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"Kuttabul Rugby",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"Proserpine/Whitsunday Rugby Union",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"Slade Point Rugby",5,"Queensland Country Rugby Union - Mackay","Australia","",""
"Cloncurry Rugby",5,"Queensland Country Rugby Union - Mt Isa","Australia","",""
"Euros Rugby Union",5,"Queensland Country Rugby Union - Mt Isa","Australia","",""
"Keas Rugby",5,"Queensland Country Rugby Union - Mt Isa","Australia","",""
"Warrigals Rugby",5,"Queensland Country Rugby Union - Mt Isa","Australia","",""
"Caboolture Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"Caloundra Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"Fraser Coast Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"Gympie Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"Maroochydore Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"Nambour Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","Q131626837",""
"Noosa District Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","",""
"University of the Sunshine Coast Rugby Union",5,"Queensland Country Rugby Union - Sunshine Coast","Australia","Q131626873",""
"Burdekin Rugby Union",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Charters Towers Rugby Union",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Ingham Rugby Union",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"James Cook University",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"North Ward Old Boys Rugby",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Ross River Redskins",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Teachers West Rugby Union",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Townsville Brothers Rugby Union",5,"Queensland Country Rugby Union - Townsville","Australia","",""
"Barcaldine Rugby Union",5,"Queensland Country Rugby Union - Western","Australia","",""
"Collegians Rugby Union",5,"Queensland Country Rugby Union - Western","Australia","",""
"Longreach Rugby Union",5,"Queensland Country Rugby Union - Western","Australia","",""
"Ag Vet Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Beenleigh and District Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Brisbane Irish Rugby Football Club",5,"Queensland Suburban Rugby Union","Australia","Q4968584",""
"Easts Longhorns Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Everton Park Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Goodna Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Ipswich Rangers Rugby Club",5,"Queensland Suburban Rugby Union","Australia","Q24185154",""
"Logan City Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Med XV Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Nerang Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Pine Rivers Boars Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Pine Rivers Pumas Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Redcliffe Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Redlands Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Riverside Rugby Union Club",5,"Queensland Suburban Rugby Union","Australia","",""
"Southern Bay Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Springfield Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"St Leo's College Old Boys Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"TC Beirne School of Law Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"UQ - Gatton Rugby Union",5,"Queensland Suburban Rugby Union","Australia","",""
"Wynnum Rugby Union Club",5,"Queensland Suburban Rugby Union","Australia","Q24089802",""
"Brimbank RC",5,"Victorian Premiership","Australia","",""
"Eltham",5,"Victorian Premiership","Australia","",""
"Geelong RC",5,"Victorian Premiership","Australia","",""
"Kiwi Hawthorn",5,"Victorian Premiership","Australia","",""
"Northern Panthers",5,"Victorian Premiership","Australia","",""
"Wyndham City Rhinos",5,"Victorian Premiership","Australia","",""
"Boulder RUFC",5,"WACRU - Eastern Goldfields","Australia","",""
"Bushwackers RUFC",5,"WACRU - Eastern Goldfields","Australia","",""
"Esperance RUFC",5,"WACRU - Eastern Goldfields","Australia","",""
"Kalgoorlie Stormers Rugby Club",5,"WACRU - Eastern Goldfields","Australia","",""
"Kambalda RUFC",5,"WACRU - Eastern Goldfields","Australia","",""
"Albany RUFC",5,"WACRU - Great Southern","Australia","",""
"Denmark Brothers RC",5,"WACRU - Great Southern","Australia","",""
"Dryandra-Narrogin RUFC",5,"WACRU - Great Southern","Australia","",""
"Katanning RC",5,"WACRU - Great Southern","Australia","",""
"Geraldton Internationals RC",5,"WACRU - Northern","Australia","",""
"Paraburdoo RC",5,"WACRU - Northern","Australia","",""
"Bridgetown RUFC",5,"WACRU - South West","Australia","",""
"Bunbury City RUFC",5,"WACRU - South West","Australia","",""
"Collie RC",5,"WACRU - South West","Australia","",""
"Dunsborough RUFC",5,"WACRU - South West","Australia","",""
"Leeuwin-Margaret River RUFC",5,"WACRU - South West","Australia","",""
"Batemans Bay RUFC",6,"ACTRU South Coast Zone","Australia","",""
"Bega Valley RUFC",6,"ACTRU South Coast Zone","Australia","",""
"Bermagui-Cobargo Sharks RC",6,"ACTRU South Coast Zone","Australia","",""
"Bombala Rugby Club",6,"ACTRU South Coast Zone","Australia","",""
"Braidwood RUFC",6,"ACTRU South Coast Zone","Australia","",""
"Broulee Dolphins RUFC",6,"ACTRU South Coast Zone","Australia","",""
"Milton Rugby Club",6,"ACTRU South Coast Zone","Australia","",""
"Narooma & Districts Whales RC",6,"ACTRU South Coast Zone","Australia","",""
"Albury-Wodonga RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Cootamundra RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Denilquin Drovers",6,"ACTRU Southern Inland Zone","Australia","",""
"Grenfell Rugby Club",6,"ACTRU Southern Inland Zone","Australia","",""
"Griffith RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Hay Cutters",6,"ACTRU Southern Inland Zone","Australia","",""
"Leeton Phantoms RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Rivcoll Red RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Temora RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Tumut RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Wagga Agricultural College RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Wagga City RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Wagga Wagga Crows Junior Rugby Union",6,"ACTRU Southern Inland Zone","Australia","",""
"Wagga Waratahs RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"West Wyalong Junior Rugby Union",6,"ACTRU Southern Inland Zone","Australia","",""
"Young RUFC",6,"ACTRU Southern Inland Zone","Australia","",""
"Bishop-Druit College Coffs Harbour Barracudas",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
"Bowraville Goannas",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
"Coffs Harbour Snappers",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
"Grafton Redmen",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
"Hastings Valley Vikings",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
"Kempsey Cannonballs",6,"NSWCRU Mid North Coast Rugby Union - Northern Division","Australia","",""
