"origWdId","origName","itName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Senior","2007-2007","Cheetahs","Central_Cheetahs","0","0","2007","2007"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Senior","2008-13","Bulls","Bulls_(rugby_a_15)","82","105","2008","2013"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Senior","2013-17","Leinster","Leinster_Rugby","66","60","2013","2017"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Senior","2017-19","Newport G.D.","Dragons_(rugby_a_15)","20","5","2017","2019"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","International","2009-","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","31","25","2009",NA
"Q168675","Francois Pienaar","François Pienaar","Fran%C3%A7ois_Pienaar","Regional","1989-1996","Transvaal","Golden_Lions","89","","1989","1996"
"Q168675","Francois Pienaar","François Pienaar","Fran%C3%A7ois_Pienaar","Senior","1996-2000","Saracens","Saracens_Football_Club","48","55","1996","2000"
"Q168675","Francois Pienaar","François Pienaar","Fran%C3%A7ois_Pienaar","Senior","1996-1996","Gauteng Lions","Lions_(rugby_a_15)","11","5","1996","1996"
"Q168675","Francois Pienaar","François Pienaar","Fran%C3%A7ois_Pienaar","International","1993-1996","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","29","15","1993","1996"
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","Senior",NA,"Abercrave",NA,NA,NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","Senior",NA,"Pontypool","Pontypool_Rugby_Football_Club",NA,NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","Senior",NA,"Llanelli","Llanelli_Rugby_Football_Club",NA,NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","Senior",NA,"Swansea","Swansea_Rugby_Football_Club",NA,NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","International","1963-1965","Galles","Nazionale_maschile_di_rugby_a_15_del_Galles","14","3","1963","1965"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Regional","2006-15","Natal Sharks","Natal_Sharks","20","70","2006","2015"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Regional","2020-","Free State","Free_State_Cheetahs","6","76","2020",NA
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Senior","2009-12","Racing Métro 92","Racing_92","50","118","2009","2012"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Senior","2014-16","Brave Lupus",NA,"21","112","2014","2016"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Senior","2016-20","Montpellier","Montpellier_H%C3%A9rault_Rugby","68","151","2016","2020"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Senior","2007-15","Sharks","Sharks_(rugby_a_15)","75","283","2007","2015"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","Senior","2020-2020","Cheetahs","Central_Cheetahs","5","0","2020","2020"
"Q181263","François Steyn","François Steyn","Fran%C3%A7ois_Steyn","International","2006-","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","71","141","2006",NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","Senior","2002-05","Benetton","Benetton_Rugby_Treviso","47","65","2002","2005"
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","Senior","2005-19","Stade français","Stade_fran%C3%A7ais_Paris_rugby","265","238","2005","2019"
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","Senior","2019-23","Tolone","Rugby_Club_Toulonnais","65","45","2019","2023"
"Q188309","Sergio Parisse","Sergio Parisse","Sergio_Parisse","International","2002-19","Italia","Nazionale_maschile_di_rugby_a_15_dell%27Italia","142","83","2002","2019"
