"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q16235620","Pablo Matera","Pablo Matera",193,110,"Flanker",NA,"Argentina",NA,NA
"Q16235918","Patrick Tuipulotu","Patrick Tuipulotu",198,120,"2nd Row",NA,"New Zealand",NA,"/wiki/Auckland_Rugby_Football_Union"
"Q16236079","Elliot Dee","Elliot Dee",183,104,"Hooker",NA,"Great Britain","Wales",NA
"Q16236121","André Esterhuizen","Andre Esterhuizen",193,110,"Centre",NA,"South Africa",NA,"/wiki/Harlequin_Football_Club"
"Q16236171","Jonny Gray","Jonny Gray",198,121,"2nd Row",NA,"Great Britain","Scotland",NA
"Q16236197","Jonny Hill","Jonny Hill",196,112,"2nd Row",NA,"Great Britain","England","/wiki/Sale_Sharks"
"Q16236331","Malcolm Marx","Malcolm Marx",188,119,"Hooker",NA,"South Africa",NA,NA
"Q16236338","Sean McMahon","Sean McMahon",186,100,"Flanker",NA,"Australia",NA,NA
"Q16236647","Anthony Watson","Anthony Watson",185,93,"Winger",NA,"Great Britain","England","/wiki/Bath_Rugby"
"Q16236734","Thomas du Toit","Thomas du Toit",188,130,"Prop",NA,"South Africa",NA,"/wiki/Natal_Sharks"
"Q16236862","Anton Lienert-Brown","Anton Lienert-Brown",185,96,"Centre",NA,"New Zealand",NA,NA
"Q16533360","Braam Steyn","Braam Steyn",192,104,"Number 8",NA,"South Africa","South Africa; Italy",NA
"Q16555526","Federico Piran","Federico Piran",NA,NA,NA,NA,"Italy",NA,NA
"Q16577115","Matteo Corazzi","Matteo Corazzi",192,109,"Flanker",NA,"Italy",NA,"/wiki/Mogliano_Rugby_1969"
"Q16590237","Piermaria Leso","Piermaria Leso",183,123,"Prop",NA,"Italy",NA,"/wiki/Rugby_Colorno"
"Q16599849","Sami Panico","Sami Panico",185,110,"Prop",NA,"Italy",NA,NA
"Q16679970","Thomas Ramos","Thomas Ramos",178,87,"Fullback",NA,"France",NA,"/wiki/Stade_Toulousain"
"Q16728062","Nick Civetta","Nick Civetta",203,115,"2nd Row",NA,"U.S.A.",NA,"/wiki/Rugby_New_York"
"Q16729986","Henry Hurley","Henry Hurley",178,112,"Prop",NA,"Great Britain","Ireland",NA
"Q16730969","Osea Kolinisau","Osea Kolinisau",174,90,NA,NA,"Fiji",NA,NA
"Q16731047","Jesse Kriel","Jesse Kriel",188,97,"Centre",NA,"South Africa",NA,"/wiki/Yokohama_Canon_Eagles"
"Q16761572","Enrico Targa","Enrico Targa",191,97,"3rd Row",NA,"Italy",NA,"/wiki/Petrarca_Rugby"
"Q16762760","Finn Russell","Finn Russell",183,87,"Fly-Half",NA,"Great Britain","Scotland","/wiki/Bath_Rugby"
"Q16845274","Jean Kleyn","Jean Kleyn",203,120,"2nd Row",NA,"South Africa","Ireland; South Africa",NA
"Q16846337","Luke McGrath","Luke McGrath",175,84,"Scrum-Half",NA,"Canada","Ireland",NA
"Q16846899","Taqele Naiyaravoro","Taqele Naiyaravoro",195,123,"Winger; 2nd Row",NA,"Fiji","Australia","/wiki/Northampton_Saints"
"Q16995269","Jack Conan","Jack Conan",193,114,"Number 8",NA,"Ireland","Ireland",NA
"Q17016918","Jamie Ritchie","Jamie Ritchie",193,106,"Flanker",NA,"Great Britain","Scotland",NA
"Q17018385","Kyle Sinckler","Kyle Sinckler",180,122,"Prop",NA,"Great Britain","England","/wiki/Bristol_Rugby"
"Q17018685","Rory Sutherland","Rory Sutherland",183,112,"Prop",NA,"Great Britain","Scotland",NA
"Q17019995","Tadhg Furlong","Tadhg Furlong",183,119,"Prop",NA,"Ireland","Ireland",NA
"Q17183134","Giulio Bisegni","Giulio Bisegni",180,88,"Centre",NA,"Italy",NA,"/wiki/Rugby_Colorno"
"Q17210116","Kenki Fukuoka","Kenki Fukuoka",175,83,"Winger",NA,"Japon",NA,"/wiki/Saitama_Wild_Knights"
"Q17343768","Polla Roux","Polla Roux",186,93,"Scrum-Half",NA,"South Africa",NA,NA
"Q17350850","Jefferson Poirot","Jefferson Poirot",181,117,"Prop",NA,"France",NA,"/wiki/Union_Bordeaux_B%C3%A8gles"
"Q17351919","Oliviero Fabiani","Oliviero Fabiani",180,98,"Hooker",NA,"Italy",NA,"/wiki/Rugby_Colorno"
"Q17351927","Matteo Ferro","Matteo Ferro",195,122,"Number 8",NA,"Italy",NA,"/wiki/Rugby_Rovigo_Delta"
"Q17385620","Scott Barrett","Scott Barrett",197,112,"2nd Row",NA,"New Zealand",NA,NA
"Q17386026","Brett Harvey","Brett Harvey",194,92,"Flanker",NA,"New Zealand",NA,NA
"Q17386578","Gerwyn Price","Gerwyn Price",175,NA,"Hooker",NA,"Wales",NA,NA
"Q17403308","Allan Alaalatoa","Allan Alaalatoa",182,120,"Prop",NA,"Australia",NA,NA
"Q17411164","Mark Finlay","Mark Finlay",183,89,"Fullback",NA,"New Zealand",NA,NA
"Q17465851","Scott Crichton","Scott Crichton",180,110,"Prop",NA,"New Zealand",NA,NA
"Q17497081","Teddy Thomas","Teddy Thomas",185,90,"Winger",NA,"France",NA,"/wiki/Racing_92"
"Q17517204","Damian McKenzie","Damian McKenzie",177,81,"Fullback",NA,"New Zealand",NA,NA
"Q17517217","Johan Meyer","Johan Meyer",193,104,"Flanker",NA,"South Africa","South Africa; Italy",NA
"Q17523769","Matías Alemanno","Matías Alemanno",199,117,"2nd Row",NA,"Argentina",NA,NA
"Q17523840","Ramiro Herrera","Ramiro Herrera",194,123,"Prop",NA,"Argentina",NA,"/wiki/Stade_rochelais"
"Q17523906","Lucas Noguera Paz","Lucas Noguera Paz",179,108,"Prop",NA,"Argentina",NA,NA
"Q17542132","Jerónimo de la Fuente","Jerónimo de la Fuente",183,96,"Centre",NA,"Argentina",NA,NA
"Q17589494","Filippo Frati","Filippo Frati",170,76,"Scrum-Half",NA,"Italy",NA,NA
"Q17600458","Allan Mann","Allan Mann",NA,NA,"Utility Back",NA,"Scotland",NA,NA
"Q17624661","Charles Ollivon","Charles Ollivon",198,108,"3rd Row",NA,"France",NA,"/wiki/Rugby_Club_Toulonnais"
"Q18022517","Denny Solomona","Denny Solomona",190,95,"Winger",NA,"New Zealand","England","/wiki/North_Harbour_Rugby_Union"
"Q18128188","Kwagga Smith","Kwagga Smith",180,90,"Flanker",NA,"South Africa",NA,"/wiki/Shizuoka_Blue_Revs"
"Q18129148","Hamish Watson","Hamish Watson",185,91,"Flanker",NA,"Great Britain","Scotland",NA
"Q18162827","Felipe Berchesi","Felipe Berchesi",178,80,"Fly-Half",NA,"Uruguay",NA,"/wiki/Union_sportive_dacquoise"
"Q18165611","Angus Gardner","Angus Gardner",NA,NA,NA,NA,"Australia",NA,NA
"Q18166319","Taniela Tupou","Taniela Tupou",175,128,"Prop",NA,"Tonga","Australia",NA
"Q18167677","Hendrik Tui","Hendrik Tui",189,110,"Flanker",NA,"New Zealand","Japon",NA
"Q18218068","Seta Tamanivalu","Seta Tamanivalu",189,104,"Centre",NA,"Fiji","New Zealand","/wiki/Union_Bordeaux_B%C3%A8gles"
"Q18222876","Riccardo Brugnara","Riccardo Brugnara",180,115,"Prop",NA,"Italy",NA,"/wiki/Petrarca_Rugby"
"Q18224322","Gabriele Pierini","Gabriele Pierini",195,110,"2nd Row",NA,"Italy",NA,"/wiki/Polisportiva_S.S._Lazio_Rugby_1927"
