"wpName","fusName","rugbyscopeId","teamWP"
"bay of plenty ngawha","Bay of Plenty Ngāwhā; Bay of Plenty Ngawha","7926",NA
"baymen rugby club","Baymen Rugby Club; Baymen RC","7925",NA
"Bazet Andrest","Entente Bazet Andrest; Bazet Andrest","5352",NA
"bearsden rfc","Bearsden RFC; Bearsden","7924",NA
"beaumaris rfc","Beaumaris RFC; Beaumaris","7923",NA
"beaune","Dragons; Beaune; Dragones de Newport; Dragones de Newport Gwent; Dragons RFC; Dragons RFC Official; Dreigiau Gwent; Newport Dragons; Newport G.D.; Newport Gwent Dragons; Newpport Gwent Dragons; Ньюпорт Гвент Дрэгонс; Њупорт Гвент Дрегонс; ドラゴンズ; ニューポート・グウェント・ドラゴンズ","7",NA
"beaurepaire","Union sportive beaurepairoise; Beaurepaire; US Beaurepaire","716",NA
"beauvais rugby","VC Beauvais; Vélo Club Beauvais; Beauvais Rugby","7403",NA
"beauvais rugby club","Beauvais Rugby Club; Beauvais RC; Beauvais XV; Beauvais XV Rugby Club; RC Beauvais","3119",NA
"Beccehamians RFC","Beccehamian Rugby Football Club; Old Beccehamians RFC; Beccehamian RFC; Becc's; Beccehamians; Becchamians Rugby Football Club","3062",NA
"bédarrides","Rugby Club Bedarrides","5119",NA
"Bedford Athletic RFC","Bedford Athletic; Ath; Bedford Athletic Rugby Club","961",NA
"bedwas rugby club","Bedwas RFC; Bedwas; Bedwas Rugby Football Club; ベットワズRFC","139",NA
"Beecroft Rugby Club","Beecroft Rugby Club; The Crofties; Beecroft Rugby Club Inc","963",NA
"belfast cobras","Belfast RFC; Belfast Rugby Football Club; Belfast Cobras; ベルファスト; ベルファストラグビーフットボールクラブ","5759",NA
"Belfast Cobras","Belfast RFC; Belfast Rugby Football Club; Belfast Cobras; ベルファスト; ベルファストラグビーフットボールクラブ","5759",NA
"Belfast Harlequins","Belfast Harlequins; North of Ireland","430",NA
"belfast rfc","Belfast RFC; Belfast Rugby Football Club; Belfast Cobras; ベルファスト; ベルファストラグビーフットボールクラブ","5759",NA
"belhar","Belhar","6765",NA
"bellville rfc","Bellville; Bellville RFC","6766",NA
"Bellville RFC","Bellville; Bellville RFC","6766",NA
"bellville rfu","Bellville RFU; Bellville","7922",NA
"belmont shore","Belmont Shore RFC; Belmont Shore; Belmont Shore RC; Belmont Shore Rugby Club","965",NA
"belvès","Stade Belvesois; Belvès; Stade Belvès","4479",NA
"Benetton","Benetton Rugby Treviso; AS Rugby Treviso; Benetton; Benetton Rugby; Benetton Rugby Trévise; Benetton Trevise; Benetton Trévise; Benetton Treviso; Benneton Trévise; GUF Treviso; I Leoni; Rugby Trévise; Rugby Treviso; Trévise; Treviso; トレヴィーゾ; トレビーゾ; ベネットン; ベネットン・ラグビー; ベネトン・ラグビー","59",NA
"Benetton Treviso","Benetton Rugby Treviso; AS Rugby Treviso; Benetton; Benetton Rugby; Benetton Rugby Trévise; Benetton Trevise; Benetton Trévise; Benetton Treviso; Benneton Trévise; GUF Treviso; I Leoni; Rugby Trévise; Rugby Treviso; Trévise; Treviso; トレヴィーゾ; トレビーゾ; ベネットン; ベネットン・ラグビー; ベネトン・ラグビー","59",NA
"benevento","U.S. Rugby Benevento; Benevento; Rugby Bénévent; Rugby Benevento; Unione Sportiva Rugby Benevento; US Benevento; US Rugby Benevento","859",NA
"bergerac","US Bergerac; Bergerac; Union sportive Bergerac rugby vallée de la Dordogne; US Bergerac rugby vallée de la Dordogne; USベルジュラック","706",NA
"berre","CO Berre XV; Berre; Club Olympique Berre XV","3094",NA
"Berwick RFC","Berwick RFC; Berwick; Berwick Rugby Club; Berwick Rugby Football Club","969",NA
"Bicester Rugby Club","Bicester Rugby Club; Bicester RC; Bicester Rugby Union Club; Foxes","974",NA
"biella","Biella RC; Biella; Biella Rugby","5508",NA
"biella rugby","Biella RC; Biella; Biella Rugby","5508",NA
"bièvre saint-geoirs rc","Bièvre Saint-Geoirs RC; AS Bièvre Saint-Geoirs RC; Bievre Saint Geoirs RC","4462",NA
"biggleswade","Biggleswade Rugby Club; Biggleswade; Biggleswade RUFC; Biggy; Biggleswade Rugby Union Football Club & Associated Clubs","975",NA
"Biguá Rugby Club","Biguá Rugby Club; Bigua RC; Bigua Rugby Club","3414",NA
"birkenhead park fc","Birkenhead Park FC; Birkenhead Park; Birkenhead Park Football Club; Birkenhead Park Rugby Union Football Club","978",NA
"birmingham moseley rfc","Birmingham Moseley Rugby Club; Мозли Рагби Футбол Клаб; Billesley Boys; Birmingham-Moseley; Birmingham Moseley; Birmingham Moseley RFC; Birmingham Moseley Rugby; Mose; Moseley; Moseley Boys; Moseley Colts; Moseley R.F.C.; Moseley RFC; Moseley Rugby; Moseley Rugby Club; Moseley Rugby Football Club; MoseleyRugbyFC; バーミンガム・モーズリー・ラグビー・クラブ; バーミンガム・モーズリーRC; モーズリー; モーズリーRFC; モズリー","26",NA
"Birr","Birr RFC; Birr; Birr Rugby Football Club; The Birr Grizzly Bears","980",NA
