"rugbyscopeId","altNames","teamWP","fusionName"
847,"Livorno 1931",NA,"Rugby Livorno 1931"
847,"Granducato Livorno",NA,"Rugby Livorno 1931"
847,"Rugby Livorno 1931",NA,"Rugby Livorno 1931"
849,"riviera rugby",NA,"Rugby Riviera 1975"
849,"Rugby Riviera",NA,"Rugby Riviera 1975"
850,"rangers vicenza; rangers vicenza rugby; Rangers Vicenza Rugby","Rangers_Vicenza_Rugby","ASD Rugby Vicenza"
850,"vicenza",NA,"ASD Rugby Vicenza"
850,"Rangers Vicenza Rugby",NA,"ASD Rugby Vicenza"
850,"Rangers Rugby Vicenza",NA,"ASD Rugby Vicenza"
853,"reggio calabria",NA,"Società Sportiva Rugby Reggio Calabria"
856,"south american jaguars; Sudamérica XV; south america xv","Sudam%C3%A9rica_XV","Sudamérica XV"
857,"avezzano rugby",NA,"Avezzano Rugby"
858,"primavera","Unione_Sportiva_Primavera_Rugby","Unione Sportiva Primavera Rugby"
858,"Unione Sportiva Primavera Rugby",NA,"Unione Sportiva Primavera Rugby"
858,"U.S. Primavera",NA,"Unione Sportiva Primavera Rugby"
859,"benevento",NA,"U.S. Rugby Benevento"
859,"rugby benevento",NA,"U.S. Rugby Benevento"
859,"Rugby Benevento",NA,"U.S. Rugby Benevento"
859,"US Rugby Benevento",NA,"U.S. Rugby Benevento"
860,"rugby parabiago",NA,"Rugby Parabiago 1948"
862,"argentina u20; argentina u20s; argentina under 20; argentina under-20; argentina u-20; argentine u20; argentina u.20","Argentina_national_under-20_rugby_union_team","Argentina national under-20 rugby union team"
862,"australia under 20s",NA,"Argentina national under-20 rugby union team"
863,"chile u20; chile u20s","Chile_national_under-20_rugby_union_team","Chile national under-20 rugby union team"
876,"dinamo moscow",NA,"Dynamo Moscow Rugby Club"
876,"rc dynamo moscow",NA,"Dynamo Moscow Rugby Club"
877,"rc zelenograd",NA,"Zelenograd Rugby Club"
878,"rc lokomotiv moscow","RC_Lokomotiv_Moscow","RC Lokomotiv Moscow"
880,"posnania poznań","RC_Posnania","RC Posnania"
885,"asa tel aviv rc",NA,"ASA Tel Aviv Rugby Club"
887,"Aarhus RK","Aarhus_RK","Aarhus RK"
889,"aberavon quins rfc; Aberavon Quins RFC","Aberavon_Quins_RFC","Aberavon Quins RFC"
890,"Abercarn RFC","Abercarn_RFC","Abercarn RFC"
891,"Abercrave RFC; abercrave rfc","Abercrave_RFC","Abercrave RFC"
892,"Abercynon","Abercynon_RFC","Abercynon RFC"
893,"aberdare rfc; Aberdare RFC","Aberdare_RFC","Aberdare RFC"
