,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
114,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2014-2017,nsw country eagles,0,80
115,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2016-2018,waratahs,0,15
116,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2018-2019,northampton saints,0,20
117,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2019,counties manukau,0,0
118,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2020-2024,rebels,0,90
119,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2021,green rockets tokatsu,0,5
120,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),senior_club,2025-,waratahs,0,0
121,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),international,2012-2013,australia schoolboys,0,0
122,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),international,2014-2015,australia u20,0,70
123,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),international,2021-,australia,0,60
124,Ernest Marriott,https://en.wikipedia.org/wiki/Ernest_Marriott,amateur,-,manchester football club,0,0
125,Alexander Aitken,https://en.wikipedia.org/wiki/Alexander_Aitken_(rugby_union),amateur,-,edinburgh institution f.p.,0,0
126,Alexander Aitken,https://en.wikipedia.org/wiki/Alexander_Aitken_(rugby_union),senior_club,1888,edinburgh district,0,0
127,Alexander Aitken,https://en.wikipedia.org/wiki/Alexander_Aitken_(rugby_union),senior_club,1889,east of scotland district,0,0
128,Alexander Aitken,https://en.wikipedia.org/wiki/Alexander_Aitken_(rugby_union),international,1889,scotland,0,0
