wikidataId,name,wikipediaEn,url,,,,,
Q439880,Joe Worsley,Joe_Worsley,https://en.wikipedia.org/wiki/Joe_Worsley,,,,,
Q440131,Jamie Heaslip,Jamie_Heaslip,https://en.wikipedia.org/wiki/Jamie_Heaslip,,,,,
Q440625,Martin Corry,Martin_Corry_(rugby_union),https://en.wikipedia.org/wiki/Martin_Corry_(rugby_union),,,,,
Q441286,Tom Croft,Tom_Croft,https://en.wikipedia.org/wiki/Tom_Croft,,,,,
Q441972,Tendai Mtawarira,Tendai_Mtawarira,https://en.wikipedia.org/wiki/Tendai_Mtawarira,,,,,
Q443117,Tim Payne,Tim_Payne_(rugby_union),https://en.wikipedia.org/wiki/Tim_Payne_(rugby_union),,,,,
Q446193,Norman Slater,Norman_Slater,https://en.wikipedia.org/wiki/Norman_Slater,,,,,
Q446200,Colby Slater,Colby_Slater,https://en.wikipedia.org/wiki/Colby_Slater,,,,,
Q446520,Dudley DeGroot,Dudley_DeGroot,https://en.wikipedia.org/wiki/Dudley_DeGroot,,,,,
Q446789,Dai Young,Dai_Young,https://en.wikipedia.org/wiki/Dai_Young,,,,,
Q446877,Alfred Elu«˘re,Alfred_Elu%C3%A8re,https://en.wikipedia.org/wiki/Alfred_Elu%C3%A8re,,,,,
Q447937,Jack Kyle,Jack_Kyle,https://en.wikipedia.org/wiki/Jack_Kyle,,,,,
Q447949,Bryn Meredith,Bryn_Meredith,https://en.wikipedia.org/wiki/Bryn_Meredith,,,,,
Q447961,Alun Wyn Jones,Alun_Wyn_Jones,https://en.wikipedia.org/wiki/Alun_Wyn_Jones,,,,,
Q448009,Jim Telfer,Jim_Telfer,https://en.wikipedia.org/wiki/Jim_Telfer,,,,,
Q448172,Syd Millar,Syd_Millar,https://en.wikipedia.org/wiki/Syd_Millar,,,,,
Q448182,Jeremy Guscott,Jeremy_Guscott,https://en.wikipedia.org/wiki/Jeremy_Guscott,,,,,
Q448212,Bobby Windsor,Bobby_Windsor,https://en.wikipedia.org/wiki/Bobby_Windsor,,,,,
Q448312,Willie John McBride,Willie_John_McBride,https://en.wikipedia.org/wiki/Willie_John_McBride,,,,,
Q448441,Tony O'Reilly,Tony_O%27Reilly,https://en.wikipedia.org/wiki/Tony_O%27Reilly,,,,,
Q448515,David Nash,David_Nash_(rugby_union),https://en.wikipedia.org/wiki/David_Nash_(rugby_union),,,,,
Q448825,Will Greenwood,Will_Greenwood,https://en.wikipedia.org/wiki/Will_Greenwood,,,,,
Q449012,Jamie Roberts,Jamie_Roberts,https://en.wikipedia.org/wiki/Jamie_Roberts,,,,,
Q449131,Luke Charteris,Luke_Charteris,https://en.wikipedia.org/wiki/Luke_Charteris,,,,,
Q452051,Graham Mourie,Graham_Mourie,https://en.wikipedia.org/wiki/Graham_Mourie,,,,,
Q452373,Sid Going,Sid_Going,https://en.wikipedia.org/wiki/Sid_Going,,,,,
Q452384,Julien Dupuy,Julien_Dupuy,https://en.wikipedia.org/wiki/Julien_Dupuy,,,,,
