origWdId,origName,esName,wpPage,startYear,endYear,teamName,teamWP,matchesPlayed,pointsScored
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,2015,,RC Narbonne,/w/index.php?title=Rugby_Club_Narbonne&action=edit&redlink=1,,
Q301081,Jamie Salmon,Jamie Salmon,Jamie_Salmon,,,InglaterraInglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,15,
Q301081,Jamie Salmon,Jamie Salmon,Jamie_Salmon,1978,1980,Blackheath F.C.,/w/index.php?title=Blackheath_F.C.&action=edit&redlink=1,,
Q301081,Jamie Salmon,Jamie Salmon,Jamie_Salmon,1980,1983,Wellington Rugby FU,/wiki/Wellington_Rugby_Football_Union,,
Q301081,Jamie Salmon,Jamie Salmon,Jamie_Salmon,1984,1990,Harlequins FC,/wiki/Harlequins_FC,,
Q302330,Aaron Mauger,Aaron Mauger,Aaron_Mauger,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,46,
Q302330,Aaron Mauger,Aaron Mauger,Aaron_Mauger,1999,2007,Canterbury RFU,/wiki/Canterbury_RFU,,
Q302330,Aaron Mauger,Aaron Mauger,Aaron_Mauger,2000,2007,Crusaders,/wiki/Crusaders_(Super_Rugby),,
Q302330,Aaron Mauger,Aaron Mauger,Aaron_Mauger,2007,2010,Leicester Tigers,/wiki/Leicester_Tigers,,
Q318920,Jonny Wilkinson,Jonny Wilkinson,Jonny_Wilkinson,,,Inglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,91,
Q318920,Jonny Wilkinson,Jonny Wilkinson,Jonny_Wilkinson,1997,2009,Newcastle,/wiki/Newcastle_Falcons,,
Q318920,Jonny Wilkinson,Jonny Wilkinson,Jonny_Wilkinson,2009,2014,RC Toulon,/wiki/Rugby_Club_Toulonnais,,
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,70,5
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,2006,07,Cheetahs,/wiki/Cheetahs,,
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,2008,2015,Natal Sharks,/wiki/Natal_Sharks,,
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,2015,2020,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby_Club,,
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,2020,2022,Lions,/wiki/Lions_(rugby),,
Q325033,Jannie du Plessis,Jannie du Plessis,Jannie_du_Plessis,2020,2022,Golden Lions,/wiki/Golden_Lions,,
Q335197,Bryan Habana,Bryan Habana,Bryan_Habana,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,124,335
Q335197,Bryan Habana,Bryan Habana,Bryan_Habana,2005,2009,Bulls,/wiki/Bulls_(rugby),,
Q335197,Bryan Habana,Bryan Habana,Bryan_Habana,2010,2013,Stormers,/wiki/Stormers,,
Q335197,Bryan Habana,Bryan Habana,Bryan_Habana,2013,2018,RC Toulon,/wiki/Rugby-Club_Toulonnais,,
Q338006,Jean-Baptiste Élissalde,Jean-Baptiste Élissalde,Jean-Baptiste_%C3%89lissalde,,,Francia,/wiki/Selecci%C3%B3n_de_rugby_de_Francia,35,
Q338006,Jean-Baptiste Élissalde,Jean-Baptiste Élissalde,Jean-Baptiste_%C3%89lissalde,1997,2002,Stade Rochelais,/wiki/Atlantique_Stade_Rochelais,,
Q338006,Jean-Baptiste Élissalde,Jean-Baptiste Élissalde,Jean-Baptiste_%C3%89lissalde,2002,2011,Stade Toulousain,/wiki/Stade_Toulousain,,
Q348867,Ian Kirkpatrick,Ian Kirkpatrick,Ian_Kirkpatrick,1967,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,39,57
Q348867,Ian Kirkpatrick,Ian Kirkpatrick,Ian_Kirkpatrick,1966,1979,Poverty Bay Rugby,/wiki/Poverty_Bay_Rugby,,
Q348867,Ian Kirkpatrick,Ian Kirkpatrick,Ian_Kirkpatrick,1967,1969,Canterbury,/wiki/Canterbury_(rugby),,
Q350686,Adam Rhys Jones,Adam Jones,Adam_Rhys_Jones,,,Gales,/wiki/Selecci%C3%B3n_de_rugby_de_Gales,95,10
Q350686,Adam Rhys Jones,Adam Jones,Adam_Rhys_Jones,1998,2003,Neath RFC ,,,
Q350686,Adam Rhys Jones,Adam Jones,Adam_Rhys_Jones,2003,2014,Ospreys Rugby,/wiki/Ospreys_Rugby,,
Q350686,Adam Rhys Jones,Adam Jones,Adam_Rhys_Jones,2014,2015,Cardiff Blues,/wiki/Cardiff_Blues,,
Q350686,Adam Rhys Jones,Adam Jones,Adam_Rhys_Jones,2015,2018,Harlequins FC,/wiki/Harlequins_FC,,
Q350967,Luke McAlister,Luke McAlister,Luke_McAlister,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,30,
Q350967,Luke McAlister,Luke McAlister,Luke_McAlister,2002,2010,North Harbour RU,/wiki/North_Harbour_Rugby_Union,,
Q350967,Luke McAlister,Luke McAlister,Luke_McAlister,2004,2007,Blues,/wiki/Blues_(rugby),,
