origWdId,origName,itName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q209365,Richie Gray,Richie Gray,Richie_Gray,Senior,2016-20,Tolosa,/wiki/Stade_Toulousain,40,5
Q209365,Richie Gray,Richie Gray,Richie_Gray,Senior,2008-12,Glasgow Warriors,/wiki/Glasgow_Warriors,32,15
Q209365,Richie Gray,Richie Gray,Richie_Gray,Senior,2020-,Glasgow Warriors,/wiki/Glasgow_Warriors,53,5
Q209365,Richie Gray,Richie Gray,Richie_Gray,International,2010-; 2013-,Scozia; British Lions,/wiki/Nazionale_maschile_di_rugby_a_15_della_Scozia; /wiki/British_and_Irish_Lions,88; 1,15; 0
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,?-?,Llanharan RFC,/w/index.php?title=Llanharan_RFC&action=edit&redlink=1,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,?-?,Neath,/wiki/Neath_Rugby_Football_Club,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,?-?,Harlequins,/wiki/Harlequin_Football_Club,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,?-; 2004,Ospreys,/wiki/Ospreys,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,2004; -; 2005,Narbonne,/wiki/Racing_Club_Narbonne,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,Senior,2005; -; 2008,Bristol,/wiki/Bristol_Rugby,,
Q261477,Gareth Llewellyn,Gareth Llewellyn,Gareth_Llewellyn,International,1989; -; 2004,Galles,/wiki/Nazionale_maschile_di_rugby_a_15_del_Galles,92,24
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),Regional,2005-14,Western Province,/wiki/Western_Province,22,70
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),Senior,2015-16,Leicester,/wiki/Leicester_Tigers,2,5
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),Senior,2005-09,Stormers,/wiki/Stormers,53,90
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),Senior,2009-10,Munster,/wiki/Munster_Rugby,15,25
