origWdId,origName,debugComment,itName,wpPage,height,weight,positions,positionsWP,birthCountry,sportCountry,currentTeam,currentTeamWP
Q406142,Rémi Lamerat,,Rémi Lamerat,R%C3%A9mi_Lamerat,185,108,Tre quarti centro,,Francia,,Bordeaux Bègles,/wiki/Union_Bordeaux_B%C3%A8gles
Q406148,Jean-Marc Mazzonetto,No IT WP page,,,,,,,,,,
Q406385,Rémi Tales,No IT WP page,,,,,,,,,,
Q406422,Julien Fritz,No IT WP page,,,,,,,,,,
Q406431,Armand Battle,No IT WP page,,,,,,,,,,
Q406610,Julien Audy,No IT WP page,,,,,,,,,,
Q406616,Rabah Slimani,,Rabah Slimani,Rabah_Slimani,175,113,Pilone,,Francia,,,
Q406637,Yohann Vivalda,No IT WP page,,,,,,,,,,
Q425547,Gonzalo Longo,,Gonzalo Longo,Gonzalo_Longo,193,102,Terza linea centro,,Argentina,,,
Q425576,Michael Lipman,,Michael Lipman,Michael_Lipman,185,99,Terza linea ala,,Regno Unito,Inghilterra,,
Q425580,Sitiveni Sivivatu,,Sitiveni Sivivatu,Sitiveni_Sivivatu,185,95,Tre quarti ala,,Figi,Figi; Nuova Zelanda,,
Q427291,Gavin Hastings,,Gavin Hastings,Gavin_Hastings,188,91,Estremo,,Regno Unito,Scozia,,
Q428564,Dan Drysdale,No IT WP page,,,,,,,,,,
Q429847,Mircea Paraschiv,No IT WP page,,,,,,,,,,
Q430712,Charles William Miller,,Charles Miller,Charles_William_Miller,,,Attaccante; portiere,,Brasile,,,
Q431135,Ron Cribb,,Ron Cribb,Ron_Cribb,194,110,Terza linea centro,,Nuova Zelanda,,,
Q432098,Tom Richards,No IT WP page,,,,,,,,,,
Q432329,Paul Sackey,,Paul Sackey,Paul_Sackey,186,91,Tre quarti ala,,Regno Unito,Inghilterra,Harlequins,/wiki/Harlequin_Football_Club
Q433258,Ian McGeechan,,Ian McGeechan,Ian_McGeechan,176,71,Utility back,,Regno Unito,Scozia,,
Q433324,Lee Mears,,Lee Mears,Lee_Mears,175,100,Tallonatore,,Regno Unito,Inghilterra,,
Q433334,Phil Vickery,No stint found,Phil Vickery,Phil_Vickery,190,120,Pilone,,Regno Unito,Inghilterra,,
Q433339,Andrew Sheridan,,Andrew Sheridan,Andrew_Sheridan,195,128,Pilone,,Regno Unito,Inghilterra,Tolone,/wiki/Rugby_Club_Toulonnais
Q433539,Nick Easter,,Nick Easter,Nick_Easter,193,115,Terza linea centro,,Regno Unito,Inghilterra,,
Q433546,Steve Borthwick,,Steve Borthwick,Steve_Borthwick,198,113,Seconda linea,,Regno Unito,Inghilterra,,
Q433551,Lewis Moody,No stint found,Lewis Moody,Lewis_Moody,195,105,Terza linea,,Regno Unito,Inghilterra,,
Q433555,Danny Care,,Danny Care,Danny_Care,174,84,mediano di mischia,,Regno Unito,Inghilterra,Harlequins,/wiki/Harlequin_Football_Club
Q433643,Simon Shaw,,Simon Shaw,Simon_Shaw,205,124,Seconda linea,,Kenya,Inghilterra,,
Q433670,Dumitru Armășel,No IT WP page,,,,,,,,,,
Q433780,Mathew Tait,,Mathew Tait,Mathew_Tait,183,90,Utility back,,Regno Unito,Inghilterra,,
Q433791,Mark Cueto,,Mark Cueto,Mark_Cueto,183,96,Utility back,,Regno Unito,Inghilterra,,
Q433797,Danny Cipriani,,Danny Cipriani,Danny_Cipriani,183,90,Mediano d'apertura,,Regno Unito,Inghilterra,,
Q434398,Jerry Flannery,,Jerry Flannery,Jerry_Flannery,180,100,Tallonatore,,Irlanda,Irlanda,,
Q434427,David Wallace,,David Wallace,David_Wallace,188,105,Terza linea ala,,Irlanda,Irlanda,,
Q434652,Simon Webster,,Simon Webster,Simon_Webster,,,Tre quarti ala,,Regno Unito,Scozia,,
Q438506,John Yapp,,John Yapp,John_Yapp,188,123,Pilone,,Galles,,,
Q438515,Dafydd Jones,,Dafydd Jones,Dafydd_Jones,191,108,Terza linea ala,,Regno Unito,Galles,,
Q439015,Riki Flutey,,Riki Flutey,Riki_Flutey,180,93,Tre quarti centro,,Nuova Zelanda,Inghilterra,,
Q439025,Donncha O'Callaghan,,Donncha O'Callaghan,Donncha_O%27Callaghan,198,114,Seconda linea,,Irlanda,Irlanda,,
Q439402,Tommy Bowe,,Tommy Bowe,Tommy_Bowe,191,98,Tre quarti ala,,Irlanda,Irlanda,,
Q439413,Harry Ellis,,Harry Ellis,Harry_Ellis,178,89,Mediano di mischia,,Regno Unito,Inghilterra,,
Q439453,Keith Earls,,Keith Earls,Keith_Earls,178,90,Utility back,,Irlanda,Irlanda,,
Q439487,Tomás O'Leary,No IT WP page,,,,,,,,,,
Q439747,Theodor Haag,No IT WP page,,,,,,,,,,
Q439867,Mark Regan,,Mark Regan,Mark_Regan,185,93,Tallonatore,,Regno Unito,Inghilterra,,
Q439880,Joe Worsley,,Joe Worsley,Joe_Worsley,196,110,Terza linea,,Regno Unito,Inghilterra,,
Q440131,Jamie Heaslip,,Jamie Heaslip,Jamie_Heaslip,193,109,Terza linea centro,,Israele,Irlanda,,
Q440625,Martin Corry,No stint found,Martin Corry,Martin_Corry,195,112,Seconda linea,,Regno Unito,Inghilterra,,
Q441286,Tom Croft,,Tom Croft,Tom_Croft,195,103,Terza linea ala,,Regno Unito,Inghilterra,,
Q441972,Tendai Mtawarira,,Tendai Mtawarira,Tendai_Mtawarira,188,116,Pilone,,Zimbabwe,Zimbabwe; Sudafrica,Old Glory DC,
Q443117,Tim Payne,,Tim Payne,Tim_Payne_(rugbista),185,117,Pilone,,Regno Unito,Inghilterra,,
Q446193,Norman Slater,No IT WP page,,,,,,,,,,
Q446200,Colby Slater,No IT WP page,,,,,,,,,,
Q446520,Dudley DeGroot,No IT WP page,,,,,,,,,,
Q446789,Dai Young,,Dai Young,Dai_Young,185,117,Pilone,,Regno Unito,Galles,,
Q446877,Alfred Eluère,No IT WP page,,,,,,,,,,
Q447937,Jack Kyle,,Jack Kyle,Jack_Kyle,,,Mediano d'apertura,,Regno Unito,Irlanda,,
Q447949,Bryn Meredith,,Bryn Meredith,Bryn_Meredith,,,Tallonatore,,Galles,,,
Q447961,Alun Wyn Jones,,Alun Wyn Jones,Alun_Wyn_Jones,198,117,Seconda linea,,Regno Unito,Galles,,
Q448009,Jim Telfer,,Jim Telfer,Jim_Telfer,188,94,Terza linea centro,,Regno Unito,Scozia,,
Q448172,Syd Millar,,Syd Millar,Syd_Millar,183,100,Pilone,,Regno Unito,Irlanda,,
Q448182,Jeremy Guscott,,Jeremy Guscott,Jeremy_Guscott,185,87,Tre quarti centro,,Regno Unito,Inghilterra,,
Q448212,Bobby Windsor,,Bobby Windsor,Bobby_Windsor,175,93,Tallonatore,,Regno Unito,Galles,,
Q448312,Willie John McBride,,Willie John McBride,Willie_John_McBride,190,102,Seconda linea,,Regno Unito,Irlanda,,
Q448441,Tony O'Reilly,No IT WP page,,,,,,,,,,
Q448515,David Nash,,David Nash,David_Nash,,,Terza linea centro,,Regno Unito,Galles,,
Q448825,Will Greenwood,,Will Greenwood,Will_Greenwood,193,100,Tre quarti centro,,Regno Unito,Inghilterra,,
Q449012,Jamie Roberts,,Jamie Roberts,Jamie_Roberts,193,111,Tre quarti centro,,Regno Unito,Galles,,
Q449131,Luke Charteris,,Luke Charteris,Luke_Charteris,206,125,Seconda linea,,Regno Unito,Galles,,
Q452051,Graham Mourie,,Graham Mourie,Graham_Mourie,183,89,Terza linea,,Nuova Zelanda,,,
Q452373,Sid Going,,Sid Going,Sid_Going,170,81,Mediano di mischia,,Nuova Zelanda,,,
Q452384,Julien Dupuy,,Julien Dupuy,Julien_Dupuy,178,78,Mediano di mischia,,Francia,,,
Q453066,Władysław Komar,,Władysław Komar,W%C5%82adys%C5%82aw_Komar,196,125,,,Polonia,,,
Q454123,Rob Kearney,,Rob Kearney,Rob_Kearney,185,95,Estremo,,Irlanda,Irlanda,,
Q455124,Wilson Whineray,,Wilson Whineray,Wilson_Whineray,183,94,Pilone,,Nuova Zelanda,,,
Q460627,Sam Warburton,,Sam Warburton,Sam_Warburton,188,99,Terza linea ala,,Regno Unito,Galles,,
Q460637,Jonathan Davies,,Jonathan Davies,Jonathan_Davies_(rugbista_1988),186,103,Tre quarti centro,,Regno Unito,Galles,,
Q460934,Morgan Stoddart,No IT WP page,,,,,,,,,,
Q461349,Oscar Kreuzer,No stint found,Oscar Kreuzer,Oscar_Kreuzer,,,,,Germania,,,
Q463531,Jean-Baptiste Charcot,No stint found,Jean-Baptiste Charcot,Jean-Baptiste_Charcot,,,,,Francia,,,
Q465470,Sébastien Chabal,,Sébastien Chabal,S%C3%A9bastien_Chabal,191,114,Terza linea centro,,Francia,,,
Q469706,Percy Montgomery,,Percy Montgomery,Percy_Montgomery,183,91,Utility back,,Sudafrica,,,
Q472853,Alan Quinlan,,Alan Quinlan,Alan_Quinlan,191,105,Terza linea ala,,Irlanda,Irlanda,,
Q474788,Matthew Rees,,Matthew Rees,Matthew_Rees,188,108,Tallonatore,,Regno Unito,Galles,,
Q475438,Vincent Clerc,,Vincent Clerc,Vincent_Clerc,178,85,Tre quarti ala,,Francia,,,
Q496505,Heyneke Meyer,No stint found,Heyneke Meyer,Heyneke_Meyer,185,85,,,Sudafrica,,,
Q500156,Andreas Reckewerth,No IT WP page,,,,,,,,,,
Q501604,Florian Faure,No IT WP page,,,,,,,,,,
Q501628,Olivier Chaplain,No IT WP page,,,,,,,,,,
Q501868,Mathieu Nicolas,No IT WP page,,,,,,,,,,
Q501873,Lucas Dupont,No IT WP page,,,,,,,,,,
Q501877,Clément Darbo,No IT WP page,,,,,,,,,,
Q502251,Massimiliano Capuzzoni,,Massimiliano Capuzzoni,Massimiliano_Capuzzoni,,,Terza linea,,Italia,,,
Q503407,James Haskell,,James Haskell,James_Haskell,193,113,Terza linea ala,,Regno Unito,Inghilterra,,
Q503493,John Bevan,,John Bevan,John_Bevan,173,80,Mediano d'apertura,,Regno Unito,Galles,,
Q503776,Andrew Bishop,No IT WP page,,,,,,,,,,
Q504581,Andrew Ellis,,Andrew Ellis,Andrew_Ellis,182,89,Mediano di mischia,,Nuova Zelanda,,,
Q505193,Andrew Hore,,Andrew Hore,Andrew_Hore,183,110,Tallonatore,,Nuova Zelanda,,,
Q506299,Andrew Mehrtens,,Andrew Mehrtens,Andrew_Mehrtens,178,88,Mediano d'apertura,,Sudafrica,Nuova Zelanda,,
Q506434,Luke Fitzgerald,,Luke Fitzgerald,Luke_Fitzgerald,185,91,Utility back,,Irlanda,Irlanda,,
Q506917,Marcos Ayerza,,Marcos Ayerza,Marcos_Ayerza,186,106,Pilone,,Argentina,,,
Q507506,Fabio Staibano,,Fabio Staibano,Fabio_Staibano,183,123,Pilone,,Italia,,,
Q508105,Andrew Trimble,,Andrew Trimble,Andrew_Trimble,183,98,Tre quarti centro,,Regno Unito,Irlanda,,
Q508342,André Venter,,André Venter,Andr%C3%A9_Venter,196,104,Terza linea,,Sudafrica,,,
Q509518,Teddy Sadaoui,No IT WP page,,,,,,,,,,
