"player","fullNames","birthDates","birthPlaces","deathDates","deathPlaces","weights","heights","positions","wikidataId"
"http://dbpedia.org/resource/Ian_Stephens_(rugby_union)__Ian_Stephens__1","Ian Stephens",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Isaac_Ross__Isaac_Ross__1","Isaac Beattie Ross; Isaac Ross",NA,NA,NA,NA,116,201,NA,NA
"http://dbpedia.org/resource/Italy_women's_national_rugby_union_team_(sevens)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/JP_Mostert",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/JP_Smith_(rugby_union)__Jean-Pierre_Smith__1","Jean-Pierre Smith",NA,NA,NA,NA,124,188,NA,NA
"http://dbpedia.org/resource/JP_du_Plessis__JP_du_Plessis__1","JP du Plessis; Phillipus Jacobus Snyman du Plessis",NA,NA,NA,NA,NA,184,NA,NA
"http://dbpedia.org/resource/Jack_Cochrane__Jack_Cochrane__1","Jack Cochrane; John Cochrane",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jack_Elliott_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jack_Hazlett__Jack_Hazlett__1","Jack Hazlett",NA,NA,NA,NA,95,188,NA,NA
"http://dbpedia.org/resource/Jack_Steel__Jack_Steel__1","Jack Steel",NA,NA,NA,NA,85,178,NA,NA
"http://dbpedia.org/resource/Jacques_Nel__Jacques_Nel__1","Jacques Jehan Nel; Jacques Nel",NA,NA,NA,NA,NA,186,NA,NA
"http://dbpedia.org/resource/Jacques_du_Plessis__Jacques_du_Plessis__1","Jacques du Plessis; Willem Hendrik Jacques du Plessis",NA,NA,NA,NA,119,201,NA,NA
"http://dbpedia.org/resource/James_Barnett_Allison",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Buckland__James_Buckland__1","James Buckland",NA,NA,NA,NA,105,170,NA,NA
"http://dbpedia.org/resource/James_Bush_(sportsman)__James_Arthur_Bush__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Campbell_(rugby_union)__James_Campbell__1","James Campbell",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Cecil_Parke__James_Cecil_Parke__1","James Cecil Parke",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_McMenamin__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_McMenamin__Australia-rugbyleague-bio-stub__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Reid_Kerr__James_Reid_Kerr__1","James Reid Kerr",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Robertson_(rugby_union,_born_1854)__James_Robertson__1","James Robertson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Robertson_(rugby_union,_born_1883)__James_Robertson__1","James Robertson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Rodwell_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/James_Thomas_Burrows",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Jamie_Mackintosh__Jamie_Mackintosh__1","Jamie Mackintosh",NA,NA,NA,NA,130,193,NA,NA
"http://dbpedia.org/resource/Jamie_Ritchie__Jamie_Ritchie__1","Jamie Ritchie",NA,NA,NA,NA,108.7,193,NA,NA
"http://dbpedia.org/resource/Janneman_Stander__Janneman_Stander__1","Janneman Stander; Johannes Hendrik Stander",NA,NA,NA,NA,95,188,NA,NA
"http://dbpedia.org/resource/Jannie_Stander__Jannie_Stander__1","Jan Hendrik Stander; Jannie Stander",NA,NA,NA,NA,115,198,NA,NA
"http://dbpedia.org/resource/Jason_Fraser__Jason_Fraser__1","Jason Fraser; Jason-Collin Fraser",NA,NA,NA,NA,108,196,NA,NA
"http://dbpedia.org/resource/Jean-Luc_du_Plessis__Jean-Luc_du_Plessis__1","Jean-Luc du Plessis",NA,NA,NA,NA,87,179,NA,NA
